"GEOCODIG_M","UF","SIGLA","NOME_MUNIC","REGIãO","MESORREGIã","NOME_MESO","MICRORREGI","NOME_MICRO"
"1100015","11","RO","Alta Floresta D'Oeste","Norte","1102","Leste Rondoniense","11006","Cacoal"
"1100023","11","RO","Ariquemes","Norte","1102","Leste Rondoniense","11003","Ariquemes"
"1100031","11","RO","Cabixi","Norte","1102","Leste Rondoniense","11008","Colorado do Oeste"
"1100049","11","RO","Cacoal","Norte","1102","Leste Rondoniense","11006","Cacoal"
"1100056","11","RO","Cerejeiras","Norte","1102","Leste Rondoniense","11008","Colorado do Oeste"
"1100064","11","RO","Colorado do Oeste","Norte","1102","Leste Rondoniense","11008","Colorado do Oeste"
"1100072","11","RO","Corumbiara","Norte","1102","Leste Rondoniense","11008","Colorado do Oeste"
"1100080","11","RO","Costa Marques","Norte","1101","Madeira-Guaporé","11002","Guajará-Mirim"
"1100098","11","RO","Espigão D'Oeste","Norte","1102","Leste Rondoniense","11006","Cacoal"
"1100106","11","RO","Guajará-Mirim","Norte","1101","Madeira-Guaporé","11002","Guajará-Mirim"
"1100114","11","RO","Jaru","Norte","1102","Leste Rondoniense","11004","Ji-Paraná"
"1100122","11","RO","Ji-Paraná","Norte","1102","Leste Rondoniense","11004","Ji-Paraná"
"1100130","11","RO","Machadinho D'Oeste","Norte","1102","Leste Rondoniense","11003","Ariquemes"
"1100148","11","RO","Nova Brasilândia D'Oeste","Norte","1102","Leste Rondoniense","11005","Alvorada D'Oeste"
"1100155","11","RO","Ouro Preto do Oeste","Norte","1102","Leste Rondoniense","11004","Ji-Paraná"
"1100189","11","RO","Pimenta Bueno","Norte","1102","Leste Rondoniense","11007","Vilhena"
"1100205","11","RO","Porto Velho","Norte","1101","Madeira-Guaporé","11001","Porto Velho"
"1100254","11","RO","Presidente Médici","Norte","1102","Leste Rondoniense","11004","Ji-Paraná"
"1100262","11","RO","Rio Crespo","Norte","1102","Leste Rondoniense","11003","Ariquemes"
"1100288","11","RO","Rolim de Moura","Norte","1102","Leste Rondoniense","11006","Cacoal"
"1100296","11","RO","Santa Luzia D'Oeste","Norte","1102","Leste Rondoniense","11006","Cacoal"
