"uf","ano","pib"
"RO","1999","5399619.045"
"AC","1999","1866542.317"
"AM","1999","13933920.081"
"RR","1999","1569596.587"
"PA","1999","16503978.547"
"AP","1999","2128307.034"
"TO","1999","3015695.225"
"MA","1999","10308256.163"
"PI","1999","5381138.667"
"CE","1999","20733661.55"
"RN","1999","8117166.75"
"PB","1999","8397432.446"
"PE","1999","24878853.988"
"AL","1999","6935079.502"
"SE","1999","5942400.086"
"BA","1999","41883129.016"
"MG","1999","89789781.725"
"ES","1999","19842972.611"
"RJ","1999","127218907.784"
"SP","1999","383249570.878"
"PR","1999","63389042.271"
"SC","1999","37151230.049"
"RS","1999","74015781.627"
"MS","1999","10172207.951"
"MT","1999","12364904.964"
"GO","1999","22191345.553"
"DF","1999","48619189.387"
"RO","2000","5946137.705"
"AC","2000","2154284.485"
"AM","2000","16749755.076"
"RR","2000","1776655.568"
"PA","2000","19050189.096"
"AP","2000","2357035.636"
"TO","2000","3671728.026"
"MA","2000","11908911.653"
"PI","2000","6062725.667"
"CE","2000","22607131.412"
"RN","2000","9119808.497"
"PB","2000","9337554.267"
"PE","2000","26959112.376"
"AL","2000","7768753.703"
"SE","2000","6539803.214"
"BA","2000","46523212.321"
"MG","2000","100612292.922"
"ES","2000","23248586.263"
"RJ","2000","139754794.677"
"SP","2000","424161313.464"
"PR","2000","69130749.092"
"SC","2000","43311914.368"
"RS","2000","81814713.666"
"MS","2000","11320383.157"
"MT","2000","14870532.684"
"GO","2000","26249030.744"
"DF","2000","46474890.262"
"RO","2001","6548806.524"
"AC","2001","2475167.65"
"AM","2001","18050363.37"
"RR","2001","2033139.912"
"PA","2001","22321458.63"
"AP","2001","2801922.937"
"TO","2001","4843260.33"
"MA","2001","13419648.019"
"PI","2001","6472659.277"
"CE","2001","24532732.886"
"RN","2001","10343395.866"
"PB","2001","10848545.016"
"PE","2001","30244980.908"
"AL","2001","8488139.804"
"SE","2001","8018921.594"
"BA","2001","51095841.488"
"MG","2001","111315220.893"
"ES","2001","24333645.155"
"RJ","2001","152098914.379"
"SP","2001","463477730.564"
"PR","2001","76413332.99"
"SC","2001","48748248.223"
"RS","2001","92310078.327"
"MS","2001","13151436.393"
"MT","2001","16309964.071"
"GO","2001","29914113.994"
"DF","2001","51523359.971"
"RO","2002","7779879.996"
"AC","2002","2868451.379"
"AM","2002","21791161.866"
"RR","2002","2312646.147"
"PA","2002","25659110.881"
"AP","2002","3291534.123"
"TO","2002","5607172.803"
"MA","2002","15448774.489"
"PI","2002","7425109.33"
"CE","2002","28896188.092"
"RN","2002","12197553.739"
"PB","2002","12433902.137"
"PE","2002","35251387.497"
"AL","2002","9812400.798"
"SE","2002","9454444.214"
"BA","2002","60671842.701"
"MG","2002","127781907.198"
"ES","2002","26756050.051"
"RJ","2002","171371993.05"
"SP","2002","511735917.636"
"PR","2002","88407076.015"
"SC","2002","55731862.65"
"RS","2002","105486816.447"
"MS","2002","15153544.468"
"MT","2002","20941060.273"
"GO","2002","37415997.218"
"DF","2002","56137983.805"
"RO","2003","9750818.456"
"AC","2003","3304770.545"
"AM","2003","24977170.313"
"RR","2003","2737003.086"
"PA","2003","29754564.629"
"AP","2003","3434106.677"
"TO","2003","7241146.844"
"MA","2003","18483299.707"
"PI","2003","8777044.167"
"CE","2003","32565453.554"
"RN","2003","13515094.978"
"PB","2003","14157834.219"
"PE","2003","39308429.407"
"AL","2003","11209510.865"
"SE","2003","10873834.905"
"BA","2003","68146924.294"
"MG","2003","148822787.919"
"ES","2003","31063717.122"
"RJ","2003","188014960.117"
"SP","2003","579846915.872"
"PR","2003","109458875.71"
"SC","2003","66848533.904"
"RS","2003","124551267.194"
"MS","2003","19273681.132"
"MT","2003","27888658.002"
"GO","2003","42836390.036"
"DF","2003","63104900.342"
"RO","2004","11260423.599"
"AC","2004","3940315.408"
"AM","2004","30313734.9"
"RR","2004","2811079.198"
"PA","2004","35562845.855"
"AP","2004","3846126.051"
"TO","2004","8277815.509"
"MA","2004","21604577.006"
"PI","2004","9816734.918"
"CE","2004","36866273.415"
"RN","2004","15580454.6"
"PB","2004","15022398.85"
"PE","2004","44010904.69"
"AL","2004","12890511.364"
"SE","2004","12167429.272"
"BA","2004","79083227.732"
"MG","2004","177324816.18"
"ES","2004","40217397.437"
"RJ","2004","222945040.617"
"SP","2004","643487491.913"
"PR","2004","122433730.736"
"SC","2004","77392991.276"
"RS","2004","137830682.459"
"MS","2004","21105169.622"
"MT","2004","36961123.135"
"GO","2004","48020949.12"
"DF","2004","70724113.139"
"RO","2005","12884046.908"
