uf,advogados,estagiarios,suplementar,total
AC,2111,92,161,2364
AL,5309,185,251,5745
AM,4301,179,268,4748
AP,1126,568,208,1902
BA,23491,3849,1291,28631
CE,11733,624,249,12606
DF,19593,2520,1886,23999
ES,9901,486,427,10814
GO,18820,2769,1070,22659
MA,5692,213,452,6357
MG,69332,5122,1732,76186
MS,7584,778,518,8880
MT,7525,3294,627,11446
PA,10114,792,411,11317
PB,6159,918,172,7249
PE,16439,2834,454,19727
PI,4991,702,208,5901
PR,39142,306,1324,40772
RJ,116477,17625,2520,136622
RN,5223,347,228,5798
RO,3312,247,272,3831
RR,594,96,85,775
RS,45696,4161,603,50460
SC,19348,576,1139,21063
SE,3366,251,209,3826
SP,229503,16293,4470,250266
TO,2394,427,321,3142
