"uf","ano","populacao"
"AC","2001","178000"
"AL","2001","1305000"
"AM","2001","900000"
"AP","2001","174000"
"BA","2001","6385000"
"CE","2001","3622000"
"DF","2001","1081000"
"ES","2001","1635000"
"GO","2001","2639000"
"MA","2001","2784000"
"MG","2001","9288000"
"MS","2001","1066000"
"MT","2001","1339000"
"PA","2001","1926000"
"PB","2001","1489000"
"PE","2001","3744000"
"PI","2001","1382000"
"PR","2001","5166000"
"RJ","2001","6945000"
"RN","2001","1254000"
"RO","2001","418000"
"RR","2001","120000"
"RS","2001","5751000"
"SC","2001","2965000"
"SE","2001","844000"
"SP","2001","19008000"
"TO","2001","609000"
"AC","2002","194000"
"AL","2002","1235000"
"AM","2002","961000"
"AP","2002","202000"
"BA","2002","6765000"
"CE","2002","3676000"
"DF","2002","1109000"
"ES","2002","1709000"
"GO","2002","2687000"
"MA","2002","2779000"
"MG","2002","9714000"
"MS","2002","1158000"
"MT","2002","1357000"
"PA","2002","2064000"
"PB","2002","1649000"
"PE","2002","3890000"
"PI","2002","1554000"
"PR","2002","5370000"
"RJ","2002","7109000"
"RN","2002","1208000"
"RO","2002","467000"
"RR","2002","107000"
"RS","2002","5871000"
"SC","2002","3077000"
"SE","2002","907000"
"SP","2002","19524000"
"TO","2002","620000"
"AC","2003","194000"
"AL","2003","1255000"
"AM","2003","1062000"
"AP","2003","198000"
"BA","2003","6802000"
"CE","2003","3853000"
"DF","2003","1135000"
"ES","2003","1743000"
"GO","2003","2734000"
"MA","2003","2832000"
"MG","2003","9840000"
"MS","2003","1156000"
"MT","2003","1370000"
"PA","2003","2180000"
"PB","2003","1688000"
"PE","2003","3921000"
"PI","2003","1606000"
"PR","2003","5448000"
"RJ","2003","7258000"
"RN","2003","1321000"
"RO","2003","477000"
"RR","2003","139000"
"RS","2003","6005000"
"SC","2003","3153000"
"SE","2003","936000"
"SP","2003","19825000"
"TO","2003","646000"
"AC","2004","303000"
"AL","2004","1280000"
"AM","2004","1411000"
"AP","2004","229000"
"BA","2004","7084000"
"CE","2004","3934000"
"DF","2004","1166000"
"ES","2004","1762000"
"GO","2004","2876000"
"MA","2004","2940000"
"MG","2004","9974000"
"MS","2004","1165000"
"MT","2004","1505000"
"PA","2004","3319000"
"PB","2004","1709000"
"PE","2004","3949000"
"PI","2004","1673000"
"PR","2004","5605000"
"RJ","2004","7432000"
"RN","2004","1348000"
"RO","2004","778000"
"RR","2004","161000"
"RS","2004","6011000"
"SC","2004","3277000"
"SE","2004","994000"
"SP","2004","20114000"
"TO","2004","660000"
"AC","2005","304000"
"AL","2005","1346000"
"AM","2005","1505000"
"AP","2005","250000"
"BA","2005","7273000"
"CE","2005","4118000"
"DF","2005","1260000"
"ES","2005","1817000"
"GO","2005","2933000"
"MA","2005","3073000"
"MG","2005","10411000"
"MS","2005","1207000"
"MT","2005","1546000"
"PA","2005","3370000"
"PB","2005","1783000"
"PE","2005","4116000"
"PI","2005","1669000"
"PR","2005","5635000"
"RJ","2005","7571000"
"RN","2005","1423000"
"RO","2005","778000"
"RR","2005","198000"
"RS","2005","6093000"
"SC","2005","3315000"
"SE","2005","1022000"
"SP","2005","21063000"
"TO","2005","668000"
"AC","2006","327000"
"AL","2006","1404000"
"AM","2006","1468000"
"AP","2006","239000"
"BA","2006","7247000"
"CE","2006","4150000"
"DF","2006","1268000"
"ES","2006","1835000"
"GO","2006","2973000"
"MA","2006","2994000"
"MG","2006","10689000"
"MS","2006","1252000"
"MT","2006","1515000"
"PA","2006","3397000"
"PB","2006","1848000"
"PE","2006","4111000"
"PI","2006","1649000"
"PR","2006","5783000"
"RJ","2006","7720000"
"RN","2006","1472000"
"RO","2006","762000"
"RR","2006","208000"
"RS","2006","6116000"
"SC","2006","3391000"
"SE","2006","1005000"
"SP","2006","21379000"
"TO","2006","672000"
"AC","2007","318000"
"AL","2007","1403000"
"AM","2007","1455000"
"AP","2007","280000"
"BA","2007","7311000"
"CE","2007","4152000"
"DF","2007","1331000"
"ES","2007","1829000"
"GO","2007","3125000"
"MA","2007","3122000"
"MG","2007","10599000"
"MS","2007","1265000"
"MT","2007","1565000"
"PA","2007","3432000"
"PB","2007","1740000"
"PE","2007","4148000"
"PI","2007","1670000"
"PR","2007","5863000"
"RJ","2007","7694000"
"RN","2007","1548000"
"RO","2007","778000"
"RR","2007","210000"
"RS","2007","6153000"
"SC","2007","3473000"
"SE","2007","1000000"
"SP","2007","21737000"
"TO","2007","671000"
"AC","2008","328000"
"AL","2008","1351000"
"AM","2008","1498000"
"AP","2008","301000"
"BA","2008","7655000"
"CE","2008","4338000"
"DF","2008","1358000"
"ES","2008","1860000"
"GO","2008","3199000"
"MA","2008","2984000"
"MG","2008","10855000"
"MS","2008","1298000"
"MT","2008","1612000"
"PA","2008","3503000"
"PB","2008","1754000"
"PE","2008","4142000"
"PI","2008","1747000"
"PR","2008","5842000"
"RJ","2008","7903000"
"RN","2008","1586000"
"RO","2008","790000"
"RR","2008","200000"
"RS","2008","6152000"
"SC","2008","3442000"
"SE","2008","989000"
"SP","2008","22094000"
"TO","2008","720000"
"AC","2009","345000"
"AL","2009","1398000"
"AM","2009","1621000"
"AP","2009","285000"
"BA","2009","7800000"
"CE","2009","4412000"
"DF","2009","1373000"
"ES","2009","1918000"
"GO","2009","3300000"
"MA","2009","2956000"
"MG","2009","11215000"
