"uf","ano","populacao"
"RO","1950","36935"
"RO","1960","70783"
"RO","1970","116620"
"RO","1980","503125"
"RO","1991","1130874"
"RO","2000","1377792"
"RO","2010","1562409"
"AC","1920","92379"
"AC","1940","79768"
"AC","1950","114755"
"AC","1960","160208"
"AC","1970","218006"
"AC","1980","306893"
"AC","1991","417165"
"AC","2000","557226"
"AC","2010","733559"
"AM","1872","57610"
"AM","1890","147915"
"AM","1900","249756"
"AM","1920","363166"
"AM","1940","438008"
"AM","1950","514099"
"AM","1960","721215"
"AM","1970","960934"
"AM","1980","1449135"
"AM","1991","2102901"
"AM","2000","2813085"
"AM","2010","3483985"
"RR","1950","18116"
"RR","1960","29489"
"RR","1970","41638"
"RR","1980","82018"
"RR","1991","215950"
"RR","2000","324152"
"RR","2010","450479"
"PA","1872","275237"
"PA","1890","328455"
"PA","1900","445356"
"PA","1920","983507"
"PA","1940","944644"
"PA","1950","1123273"
"PA","1960","1550935"
"PA","1970","2197072"
"PA","1980","3507312"
"PA","1991","5181570"
"PA","2000","6189550"
"PA","2010","7581051"
"AP","1950","37477"
"AP","1960","68889"
"AP","1970","116480"
"AP","1980","180078"
"AP","1991","288690"
"AP","2000","475843"
"AP","2010","669526"
"TO","1940","165188"
"TO","1950","204041"
"TO","1960","328486"
"TO","1970","537563"
"TO","1980","738688"
"TO","1991","920116"
"TO","2000","1155913"
"TO","2010","1383445"
"MA","1872","359040"
"MA","1890","430854"
"MA","1900","499308"
"MA","1920","874337"
"MA","1940","1235169"
"MA","1950","1583248"
"MA","1960","2492139"
"MA","1970","3037135"
"MA","1980","4097231"
"MA","1991","4929029"
"MA","2000","5642960"
"MA","2010","6574789"
"PI","1872","202222"
"PI","1890","267609"
"PI","1900","334328"
"PI","1920","609003"
"PI","1940","817601"
"PI","1950","1045696"
"PI","1960","1263368"
"PI","1970","1734894"
"PI","1980","2188150"
"PI","1991","2581215"
"PI","2000","2841202"
"PI","2010","3118360"
"CE","1872","721686"
"CE","1890","805687"
"CE","1900","849127"
"CE","1920","1319228"
"CE","1940","2091032"
"CE","1950","2695450"
"CE","1960","3337856"
