ID,ANO,RELATOR,CLASSE
0,1473187,1996,MINISTRA PRESIDENTE,SE
1,1473476,1996,MIN. ILMAR GALVÃO,RE
2,1474209,1996,MIN. NÉRI DA SILVEIRA,RE
3,1474407,1996,MIN. CELSO DE MELLO,RE
4,1475048,1996,MIN. MAURÍCIO CORRÊA,MS
5,1476124,1996,MIN. MOREIRA ALVES,AI
6,1476176,1996,MIN. MAURÍCIO CORRÊA,RE
7,1476488,1996,MIN. NÉRI DA SILVEIRA,AI
8,1477165,1996,MIN. NÉRI DA SILVEIRA,AI
9,1478039,1996,MIN. CELSO DE MELLO,ACO
10,1478281,1996,MIN. ILMAR GALVÃO,RE
11,1478497,1996,MIN. FRANCISCO REZEK,RE
12,1478554,1996,MIN. MAURÍCIO CORRÊA,AI
13,1479143,1996,MIN. ILMAR GALVÃO,RE
14,1480928,1996,MIN. MARCO AURÉLIO,RE
15,1481496,1996,MIN. CARLOS VELLOSO,RE
16,1482217,1996,MIN. NÉRI DA SILVEIRA,AI
17,1482259,1996,MIN. OCTAVIO GALLOTTI,MI
18,1482269,1996,MIN. CARLOS VELLOSO,ADI
19,1483212,1996,MIN. MARCO AURÉLIO,RE
20,1483298,1996,MIN. SYDNEY SANCHES,AI
21,1483751,1996,MIN. FRANCISCO REZEK,RE
22,1485397,1996,MIN. NÉRI DA SILVEIRA,AI
23,1486066,1996,MIN. MOREIRA ALVES,RE
24,1487635,1996,MIN. MAURÍCIO CORRÊA,MI
25,1487779,1996,MIN. MAURÍCIO CORRÊA,RE
26,1488501,1996,MIN. MARCO AURÉLIO,ADI
27,1490305,1996,MINISTRA PRESIDENTE,SE
28,1490904,1996,MIN. NÉRI DA SILVEIRA,AO
29,1490919,1996,MIN. OCTAVIO GALLOTTI,RE
30,1491049,1996,MIN. MOREIRA ALVES,RE
31,1491073,1996,MIN. NÉRI DA SILVEIRA,AI
32,1491327,1996,MIN. MAURÍCIO CORRÊA,MI
33,1491336,1996,MIN. MAURÍCIO CORRÊA,RHD
34,1491337,1996,MIN. ILMAR GALVÃO,ADI
35,1491616,1996,MIN. MOREIRA ALVES,RE
36,1491724,1996,MINISTRA PRESIDENTE,SE
37,1491779,1996,MIN. FRANCISCO REZEK,RE
38,1491882,1996,MIN. MOREIRA ALVES,ADI
39,1492097,1996,MIN. MAURÍCIO CORRÊA,AR
40,1492271,1996,MIN. OCTAVIO GALLOTTI,ADI
41,1492281,1996,MIN. SYDNEY SANCHES,AI
42,1492431,1996,MIN. ILMAR GALVÃO,ADI
43,1492998,1996,MIN. SYDNEY SANCHES,ADI
44,1493104,1996,MIN. NÉRI DA SILVEIRA,Pet
45,1493299,1996,MIN. ILMAR GALVÃO,ADI
46,1493486,1996,MIN. MOREIRA ALVES,RE
47,1493597,1996,MIN. CARLOS VELLOSO,ADI
48,1493600,1996,MIN. MAURÍCIO CORRÊA,ADI
49,1494439,1996,MIN. FRANCISCO REZEK,RE
50,1494804,1996,MIN. OCTAVIO GALLOTTI,ADI
51,1495184,1996,MIN. NÉRI DA SILVEIRA,Ext
52,1496737,1996,MIN. NÉRI DA SILVEIRA,ADI
53,1496760,1996,MIN. OCTAVIO GALLOTTI,ADI
54,1498614,1996,MIN. OCTAVIO GALLOTTI,RE
55,1499575,1996,MIN. NÉRI DA SILVEIRA,RE
56,1500269,1996,MIN. NÉRI DA SILVEIRA,ACO
57,1500759,1996,MIN. OCTAVIO GALLOTTI,ADI
58,1501465,1996,MIN. NÉRI DA SILVEIRA,ADI
59,1501738,1996,MIN. NÉRI DA SILVEIRA,ACO
60,1501749,1996,MIN. FRANCISCO REZEK,AI
61,1502026,1996,MIN. OCTAVIO GALLOTTI,RMS
62,1502060,1996,MINISTRA PRESIDENTE,SE
63,1502503,1996,MIN. ILMAR GALVÃO,RE
64,1502805,1996,MIN. OCTAVIO GALLOTTI,MS
65,1503362,1996,MIN. MAURÍCIO CORRÊA,AI
66,1504568,1996,MIN. SYDNEY SANCHES,ADI
67,1504896,1996,MIN. FRANCISCO REZEK,ADI
68,1505115,1996,MIN. OCTAVIO GALLOTTI,ADI
69,1505803,1996,MIN. NÉRI DA SILVEIRA,AI
70,1506450,1996,MIN. MAURÍCIO CORRÊA,RE
71,1507210,1996,MIN. ILMAR GALVÃO,RE
72,1507563,1996,MIN. CARLOS VELLOSO,RE
73,1507937,1996,MIN. CARLOS VELLOSO,ADI
74,1508122,1996,MIN. CARLOS VELLOSO,RE
75,1508252,1996,MIN. PAULO BROSSARD,RE
76,1508673,1996,MIN. MARCO AURÉLIO,RE
77,1508735,1996,MIN. MARCO AURÉLIO,RE
78,1509414,1996,MIN. NELSON JOBIM,SEC
79,1509926,1996,MIN. PAULO BROSSARD,AI
80,1510522,1996,MIN. MAURÍCIO CORRÊA,RE
81,1511633,1996,MIN. OCTAVIO GALLOTTI,RE
82,1511833,1996,MIN. CARLOS VELLOSO,AI
83,1512125,1996,MIN. NÉRI DA SILVEIRA,ADI
84,1512288,1996,MIN. NÉRI DA SILVEIRA,MS
85,1512615,1996,MIN. CELSO DE MELLO,AI
86,1512884,1996,MIN. NÉRI DA SILVEIRA,RE
87,1513280,1996,MIN. CARLOS VELLOSO,MS
88,1514584,1996,MIN. CARLOS VELLOSO,ADI
89,1515024,1996,MIN. PAULO BROSSARD,RE
90,1515121,1996,MIN. NÉRI DA SILVEIRA,AI
91,1515175,1996,MIN. FRANCISCO REZEK,RE
92,1515185,1996,MIN. OCTAVIO GALLOTTI,RE
93,1515851,1996,MIN. SEPÚLVEDA PERTENCE,RE
94,1516026,1996,MIN. FRANCISCO REZEK,RE
95,1516099,1996,MIN. SYDNEY SANCHES,AI
96,1516110,1996,MIN. MOREIRA ALVES,AI
97,1516123,1996,MIN. OCTAVIO GALLOTTI,AI
98,1516177,1996,MIN. SYDNEY SANCHES,AI
99,1516193,1996,MIN. CELSO DE MELLO,AI
100,1516450,1996,MIN. OCTAVIO GALLOTTI,ADI
101,1516557,1996,MIN. OCTAVIO GALLOTTI,RE
102,1516624,1996,MIN. CELSO DE MELLO,Inq
103,1516986,1996,MIN. OCTAVIO GALLOTTI,ADI
104,1517281,1996,MIN. ILMAR GALVÃO,RE
105,1517469,1996,MIN. OCTAVIO GALLOTTI,RE
106,1517650,1996,MIN. CELSO DE MELLO,AI
107,1517908,1996,MIN. MOREIRA ALVES,RE
108,1519401,1996,MIN. PAULO BROSSARD,AI
109,1519455,1996,MIN. SYDNEY SANCHES,AI
110,1519546,1996,MIN. SYDNEY SANCHES,RE
111,1519676,1996,MIN. OCTAVIO GALLOTTI,ADI
112,1519827,1996,MIN. MARCO AURÉLIO,RE
113,1519901,1996,MIN. MOREIRA ALVES,ADI
114,1519914,1996,MIN. NÉRI DA SILVEIRA,ADI
115,1519921,1996,MIN. CARLOS VELLOSO,MS
116,1519983,1996,MIN. MARCO AURÉLIO,RE
117,1520004,1996,MIN. FRANCISCO REZEK,AI
118,1520084,1996,MIN. CARLOS VELLOSO,ADI
119,1520112,1996,MIN. MAURÍCIO CORRÊA,AI
120,1520287,1996,MIN. CARLOS VELLOSO,SEC
121,1520337,1996,MINISTRA PRESIDENTE,SE
122,1520409,1996,MIN. CELSO DE MELLO,ADI
123,1520720,1996,MIN. OCTAVIO GALLOTTI,RE
124,1520762,1996,MIN. CARLOS VELLOSO,RE
125,1520789,1996,MIN. SYDNEY SANCHES,AI
126,1520859,1996,MIN. NÉRI DA SILVEIRA,RE
127,1520860,1996,MIN. MARCO AURÉLIO,RE
128,1520865,1996,MIN. SYDNEY SANCHES,RE
129,1520947,1996,MIN. OCTAVIO GALLOTTI,AI
130,1521036,1996,MIN. OCTAVIO GALLOTTI,RE
131,1521114,1996,MIN. CARLOS VELLOSO,RE
132,1521116,1996,MIN. ILMAR GALVÃO,RE
133,1521130,1996,MIN. CARLOS VELLOSO,RE
134,1521248,1996,MIN. ILMAR GALVÃO,RE
135,1521307,1996,MIN. MOREIRA ALVES,RE
136,1521312,1996,MIN. SYDNEY SANCHES,RE
137,1521904,1996,MIN. SYDNEY SANCHES,AI
138,1522215,1996,MIN. CARLOS VELLOSO,AI
139,1522470,1996,MIN. CARLOS VELLOSO,RE
140,1522481,1996,MIN. MAURÍCIO CORRÊA,RE
141,1522939,1996,MIN. ILMAR GALVÃO,RE
142,1523190,1996,MIN. SYDNEY SANCHES,RE
143,1523196,1996,MIN. ILMAR GALVÃO,RE
144,1523201,1996,MIN. MARCO AURÉLIO,RE
145,1523223,1996,MIN. ILMAR GALVÃO,RE
146,1523280,1996,MIN. CELSO DE MELLO,AI
147,1523312,1996,MIN. NÉRI DA SILVEIRA,AI
