ID,ANO,RELATOR,CLASSE
0,1474346,2000,MIN. OCTAVIO GALLOTTI,RE
1,1474686,2000,MIN. NELSON JOBIM,RE
2,1475131,2000,MIN. NÉRI DA SILVEIRA,AI
3,1475391,2000,MIN. SEPÚLVEDA PERTENCE,RE
4,1475635,2000,MIN. NELSON JOBIM,AI
5,1476744,2000,MIN. MAURÍCIO CORRÊA,RE
6,1477595,2000,MIN. CÉLIO BORJA,RC
7,1479577,2000,MIN. ELLEN GRACIE,RE
8,1482931,2000,MIN. NÉRI DA SILVEIRA,RE
9,1483014,2000,MIN. SEPÚLVEDA PERTENCE,RE
10,1484516,2000,MIN. SYDNEY SANCHES,Ext
11,1484657,2000,MIN. NELSON JOBIM,RE
12,1484706,2000,MIN. NELSON JOBIM,AI
13,1485062,2000,MIN. NÉRI DA SILVEIRA,AI
14,1486028,2000,MIN. NELSON JOBIM,RE
15,1486111,2000,MIN. CÉLIO BORJA,Inq
16,1488301,2000,MIN. NELSON JOBIM,RE
17,1488701,2000,MIN. MARCO AURÉLIO,AI
18,1488843,2000,MIN. NELSON JOBIM,RE
19,1488985,2000,MIN. SEPÚLVEDA PERTENCE,AI
20,1490390,2000,MIN. NELSON JOBIM,ADI
21,1490788,2000,MIN. SYDNEY SANCHES,AI
22,1491476,2000,MIN. SYDNEY SANCHES,AI
23,1491480,2000,MIN. MOREIRA ALVES,ADI
24,1491833,2000,MIN. CARLOS VELLOSO,RE
25,1494775,2000,MIN. OCTAVIO GALLOTTI,RE
26,1500752,2000,MIN. OCTAVIO GALLOTTI,ADI
27,1501850,2000,MIN. SEPÚLVEDA PERTENCE,RE
28,1501944,2000,MIN. MOREIRA ALVES,RE
29,1507520,2000,MIN. MARCO AURÉLIO,RE
30,1508009,2000,MIN. NELSON JOBIM,RE
31,1508113,2000,MIN. OCTAVIO GALLOTTI,RE
32,1511722,2000,MIN. MARCO AURÉLIO,ADI
33,1512688,2000,MIN. SEPÚLVEDA PERTENCE,RE
34,1513871,2000,MIN. NELSON JOBIM,RE
35,1515170,2000,MIN. NELSON JOBIM,RE
36,1515180,2000,MIN. NELSON JOBIM,RE
37,1515240,2000,MIN. SEPÚLVEDA PERTENCE,RE
38,1515259,2000,MIN. OCTAVIO GALLOTTI,RE
39,1518455,2000,MIN. MOREIRA ALVES,RE
40,1519473,2000,MIN. SYDNEY SANCHES,AI
41,1519925,2000,MIN. SEPÚLVEDA PERTENCE,AI
42,1520575,2000,MIN. NELSON JOBIM,RE
43,1520806,2000,MIN. NÉRI DA SILVEIRA,AI
44,1520826,2000,MIN. NELSON JOBIM,RE
45,1520988,2000,MIN. NELSON JOBIM,RE
46,1521115,2000,MIN. NELSON JOBIM,RE
47,1521853,2000,MIN. NELSON JOBIM,RE
48,1521973,2000,MIN. NELSON JOBIM,PPE
49,1522668,2000,MIN. NÉRI DA SILVEIRA,RE
50,1522688,2000,MIN. MARCO AURÉLIO,RE
51,1522946,2000,MIN. NÉRI DA SILVEIRA,AI
52,1523369,2000,MIN. MARCO AURÉLIO,RE
53,1523445,2000,MIN. SEPÚLVEDA PERTENCE,AI
54,1524237,2000,MIN. ILMAR GALVÃO,ADI
55,1524716,2000,MIN. SEPÚLVEDA PERTENCE,RE
56,1524721,2000,MIN. NÉRI DA SILVEIRA,RE
57,1525159,2000,MIN. NELSON JOBIM,RE
58,1525710,2000,MIN. NELSON JOBIM,RE
59,1526200,2000,MIN. NELSON JOBIM,RE
60,1529125,2000,MIN. ILMAR GALVÃO,RE
61,1529244,2000,MIN. SEPÚLVEDA PERTENCE,RE
62,1531828,2000,MIN. NELSON JOBIM,RE
63,1532051,2000,MIN. NELSON JOBIM,RE
64,1532572,2000,MIN. CELSO DE MELLO,RE
65,1532740,2000,MIN. NÉRI DA SILVEIRA,AI
66,1533630,2000,MIN. NELSON JOBIM,RE
67,1534084,2000,MIN. SYDNEY SANCHES,RE
68,1534702,2000,MIN. OCTAVIO GALLOTTI,RE
69,1536765,2000,MIN. OCTAVIO GALLOTTI,RE
70,1536779,2000,MIN. MARCO AURÉLIO,AI
71,1536853,2000,MIN. ILMAR GALVÃO,RE
72,1537757,2000,MIN. SEPÚLVEDA PERTENCE,RE
73,1539586,2000,MIN. ILMAR GALVÃO,RE
74,1540348,2000,MIN. NELSON JOBIM,RE
75,1540647,2000,MIN. MOREIRA ALVES,AI
76,1544658,2000,MIN. ILMAR GALVÃO,ADI
77,1545208,2000,MIN. SEPÚLVEDA PERTENCE,RE
78,1545874,2000,MIN. SEPÚLVEDA PERTENCE,RE
79,1545936,2000,MIN. NÉRI DA SILVEIRA,RE
80,1546185,2000,MIN. MOREIRA ALVES,RE
81,1549167,2000,MIN. NÉRI DA SILVEIRA,RE
82,1549178,2000,MIN. MAURÍCIO CORRÊA,MI
83,1549450,2000,MIN. NELSON JOBIM,AI
84,1550366,2000,MIN. NÉRI DA SILVEIRA,RE
85,1551474,2000,MIN. MOREIRA ALVES,RE
86,1552005,2000,MIN. SYDNEY SANCHES,RE
87,1552170,2000,MIN. MOREIRA ALVES,RE
88,1552289,2000,MIN. MOREIRA ALVES,RE
89,1553152,2000,MIN. SEPÚLVEDA PERTENCE,RE
90,1553461,2000,MIN. MOREIRA ALVES,RE
91,1553602,2000,MIN. NÉRI DA SILVEIRA,RE
92,1554141,2000,MIN. NÉRI DA SILVEIRA,RE
93,1554197,2000,MIN. OCTAVIO GALLOTTI,RE
94,1555476,2000,MIN. NELSON JOBIM,RE
95,1555917,2000,MIN. NÉRI DA SILVEIRA,RE
96,1555973,2000,MIN. SEPÚLVEDA PERTENCE,RE
97,1556480,2000,MIN. OCTAVIO GALLOTTI,RE
98,1556897,2000,MIN. NELSON JOBIM,RE
99,1557294,2000,MIN. MOREIRA ALVES,MS
