LEXEM,FREQ
art,11401
recurso,11241
agravo,8469
lei,8046
tribunal,8006
federal,7773
decisão,5865
ministro,5093
turma,4432
min,4376
constitucional,4376
relator,4355
rel,4338
constituição,4201
extraordinário,4033
direito,3961
regimental,3773
supremo,3449
provimento,3321
julgamento,3284
ementa,3171
artigo,3154
acórdão,3135
corte,3106
ser,2997
estado,2846
dj,2730
instrumento,2683
sobre,2632
ofensa,2553
contra,2534
fls,2505
processo,2494
brasília,2358
termos,2337
pedido,2327
autos,2309
n,2274
assim,2257
justiça,2113
caso,2090
sentido,2072
ação,2021
civil,1905
publique-se.,1892
parte,1892
medida,1860
presente,1809
ordem,1786
desta,1757
precedentes,1740
ato,1685
inconstitucionalidade,1676
ldquo,1648
liminar,1647
rdquo,1638
base,1571
voto,1570
provido,1554
público,1477
interposto,1465
recorrido,1455
questão,1443
celso,1438
ainda,1426
carta,1418
embargos,1409
mello,1396
carlos,1390
conhecido,1367
fl,1356
segurança,1339
república,1339
extraordinário,1339
negou,1325
inciso,1325
matéria,1315
ora,1299
seguimento,1294
ai,1249
valor,1238
norma,1238
stf,1236
entendimento,1232
exame,1225
poder,1191
processual,1189
pertence,1189
rtj,1176
jurisprudência,1174
plenário,1154
princípio,1148
fundamento,1148
sob,1146
sendo,1143
infraconstitucional,1143
habeas,1139
qualquer,1136
vencimentos,1123
pois,1121
causa,1114
mandado,1113
competência,1109
servidores,1097
marco,1096
constituição,1092
arts,1088
efeito,1086
superior,1074
forma,1073
abril,1073
nego,1071
cf,1071
súmula,1070
recorrente,1065
estadual,1065
corpus,1065
social,1029
trata-se,1028
deste,1026
pode,1022
reajuste,1019
penal,1017
presidente,1011
constitucionais,1001
cpc,998
caput,995
sepúlveda,990
cautelar,983
exposto,982
legal,981
apenas,979
prazo,978
bem,975
adquirido,974
quanto,973
velloso,969
código,966
indireta,963
normas,957
tal,952
fato,945
justificadamente,943
neste,933
origem,927
pública,908
porque,888
objeto,886
tendo,860
agravante,860
pagamento,855
direta,854
improvido,852
julgado,851
sido,847
constitucionalidade,847
especial,841
complementar,836
primeira,828
nega,823
extraordinário.,820
ellen,820
disposto,817
aurélio,817
gracie,814
senhor,810
deve,810
ante,806
trabalho,802
geral,797
violação,794
razão,788
decreto-lei,785
precedente,783
paulo,783
conforme,777
natureza,770
decidiu,769
decisão,766
declaração,762
julgar,758
unânime.,756
grau,749
ministra,748
face,748
multa,740
despacho,740
regime,739
reflexa,738
recursos,738
portanto,737
legislação,720
aplicação,719
nesse,715
vista,709
ndash,708
maio,707
via,702
jurídica,702
impetrante,699
judicial,693
juízo,692
folha,690
união,688
gilmar,684
desse,684
rio,682
mendes,682
ministério,681
reexame,679
seguinte,678
suspensão,676
defesa,673
sentença,672
ausente,669
acórdão,665
hc,661
vez,659
impossibilidade,659
servidor,654
ristf,648
pena,648
aplicação,645
unânime,643
prequestionamento,643
todos,641
ter,641
execução,640
fundamentos,636
cuja,636
artigos,636
modo,634
inc,633
paciente,627
fevereiro,625
extraordinário.,619
somente,618
mediante,617
tema,615
relatora,613
concessão,613
proferida,612
março,611
outro,610
efeitos,608
leis,606
cabe,606
recursal,605
possibilidade,605
data,603
janeiro,599
requisitos,598
segundo,595
pleno,595
administrativo,594
nacional,591
desde,591
antes,590
sistema,588
apelo,587
contribuição,584
mesma,581
dispositivo,581
iv,576
texto,575
dessa,573
existência,572
anterior,571
prevista,568
quo,567
redação,566
razões,566
incidência,566
dias,565
hipótese,564
in,562
alves,556
peluso,555
b,555
t,554
sede,553
partir,552
alegação,552
cezar,551
moreira,549
jurisdicional,546
ademais,544
jurisprudência,542
imposto,534
decreto,527
admissibilidade,526
segunda,520
atos,520
após,520
inicial,518
devido,518
alega,518
meio,517
c,517
espécie,516
extraordinÁrio,515
ilmar,514
votação,511
relação,510
tempo,507
autoridade,507
provas,506
públicos,505
barbosa,505
regra,504
decisões,504
caráter,502
legalidade,501
fatos,498
eros,498
joaquim,497
jurídico,494
controvérsia,492
plenário,488
pressupostos,487
nova,487
serviço,486
perante,486
nÃo,485
julgada,485
adi,485
xxxvi,484
pretensão,484
análise,484
galvão,482
exercício,482
vistos,480
orientação,480
maioria,480
interpretação,480
necessidade,478
ausência,478
falta,477
situação,475
suprema,473
proferido,473
primeiro,472
parecer,472
alegada,472
respeito,470
república.,470
p,465
único,463
previsto,461
ministros,461
outros,456
eficácia,456
agravada,456
nelson,455
maurício,455
órgão,453
correção,453
aposentadoria,453
fim,452
prova,450
município,448
cujo,448
dezembro,443
provisória,442
impugnado,442
cálculo,442
britto,442
judiciário,440
inadmissibilidade,438
final,437
extremo,437
regional,436
v,435
sustenta,435
deu,435
extraordinÁrio.,434
c.f,434
mérito,433
interesse,433
requerente,432
corrêa,431
decido,430
controle,424
procedimento,423
dispositivos,423
normativo,422
feito,421
conhecimento,421
embora,420
súmula,419
informações,418
administração,416
magna,415
junho,415
princípios,412
parágrafo,412
jobim,412
remuneração,410
própria,410
ementado,410
valores,409
certo,408
processamento,404
alínea,404
direitos,402
r.e,401
local,401
ponto,400
icms,400
relatoria,399
coisa,399
brasil,399
referido,398
além,398
taxa,397
próprio,397
legais,397
eventual,397
ms,395
serviços,394
empresa,394
garantia,393
concurso,393
municipal,392
interno,392
crime,391
apelação,390
preceito,389
plano,387
lv,385
ix,385
questão,384
regimento,383
lado,383
seguintes,382
meramente,382
eis,382
contas,382
v.g,379
teor,378
emenda,378
anos,378
tais,375
grifei,372
petição,371
prestação,370
unanimidade,368
isonomia,368
limites,367
âmbito,366
proventos,364
necessário,364
tese,363
nesta,363
fins,363
adct,363
maior,362
referida,361
juiz,361
firmou,361
repercussão,360
traslado,359
dada,359
cargo,352
impetrado,351
m,348
cumprimento,348
conseqüência,347
],347
[,347
urp,346
quais,346
cabimento,344
reclamação,343
ausentes,343
atividade,341
requer,340
ec,340
conheço,340
prisão,339
desprovido,338
responsabilidade,336
grande,336
diante,336
crédito,334
região,333
procurador-geral,332
meses,332
conta,331
conheceu,331
gerais,330
fazenda,330
então,330
constituiÇÃo,330
posto,327
outubro,326
nulidade,326
dois,326
contrato,326
processos,325
empresas,325
função,324
suspensivo,323
pertinente,322
juros,319
militar,318
À,317
imediata,317
turmas,316
presidiu,315
legislativa,315
decidido,315
ocorrência,314
mora,314
lesão,314
demais,314
acesso,314
constitui,313
possível,312
interposição,312
outra,311
concedida,311
cármen,310
recorrida,309
curso,308
apreciação,308
partes,307
par,307
afronta,307
ordinária,306
acordo,306
ausência,305
vi,304
legislativo,304
política,302
casos,301
refere,298
fiscal,298
material,297
tutela,296
reconhecimento,296
questões,296
observância,296
formulado,295
fgts,295
limite,294
dia,294
monetária,293
dado,293
merece,292
luz,292
legitimidade,292
inquérito,292
tributo,291
distrito,291
relativa,289
infraconstitucionais,289
trânsito,288
presentes,288
constituição.,288
mes,287
logo,286
eminente,285
título,284
trabalhista,284
novo,284
liberdade,284
declarou,284
intervenção,283
tribunais,282
cumpre,282
ricardo,281
agosto,281
formal,280
elementos,280
setembro,279
silveira,278
outras,278
inclusive,278
administrativa,278
determinou,275
síntese,274
prejudicado,273
manifestamente,273
jurisprudencial,272
estados,272
dou,272
item,271
instância,271
executivo,270
pessoal,269
lúcia,269
referente,268
novembro,268
lewandowski,268
dispõe,268
circunstância,268
procuradoria-geral,267
parlamentar,266
f,266
assentada,266
senhores,265
reais,265
suscitada,264
r,264
determino,264
sul,263
poderes,263
néri,262
inviável,262
cobrança,262
caráter,261
si,260
imóvel,260
impugnada,260
mantida,259
cento,259
período,258
fundado,258
tempestividade,256
relação,256
parcialmente,256
matéria,256
dje,256
daí,256
câmara,256
benefício,256
acerca,256
contribuinte,255
conflito,255
súmulas,254
entendeu,253
encontra,253
comum,253
autor,253
incidência,252
créditos,252
autoriza,252
negativa,251
momento,251
favor,251
poderia,249
pessoa,249
código,249
conclusão,249
cofins,249
criminal,248
competente,248
utilização,247
devolução,247
ano,247
stj,246
dar,245
ação,245
incisos,244
brasileiro,244
simples,243
aqui,243
pessoas,242
anteriormente,242
alíquota,242
crimes,241
periculum,240
vantagem,239
cada,239
vigência,238
podem,238
l,238
judiciária,238
grave,238
força,238
discussão,238
correspondente,238
apreciar,237
percentual,236
ampla,236
legislação,235
iptu,235
acima,235
interpretação,234
entanto,234
determinar,234
ausÊncia,234
plausibilidade,233
economia,232
decorrente,232
revela,231
remessa,231
deferimento,231
declaração,231
admitido,231
tributária,230
prática,230
haver,230
cf/88,230
plena,229
alegação,228
vantagens,227
indefiro,227
enquanto,227
vii,226
vigente,226
preliminar,226
reconhecida,225
quadro,225
cargos,225
adin,225
fundamentação,224
ambas,224
agravado,224
opostos,223
ocorre,223
nada,223
interesses,223
tributário.,222
princípio,222
administradores,222
inadmitido,221
bens,221
precatório,220
diz,220
parcial,219
liv,219
cinco,219
benefícios,219
tratamento,218
sessão,218
saúde,218
sanches,218
havendo,218
deferida,217
xxxv,216
tanto,216
reconheceu,216
infundado,216
devem,216
minas,215
trinta,214
sydney,214
sempre,214
propriedade,214
objetivo,214
monocrática,214
matÉria,214
exigência,214
contraditório,214
concreto,214
razões,213
aplicabilidade,213
renda,212
inconstitucional,212
entidade,212
§§,211
porquanto,211
indeferiu,211
situações,210
proposta,210
preventiva,210
mínimo,210
mencionado,210
hipóteses,210
dizer,210
linha,209
etc,209
diploma,209
requisito,208
positivo,208
justiça,208
indeferimento,208
benefícios,208
ordenamento,206
adicional,206
acolhida,206
sim,205
tocante,204
rsquo,204
homologação,204
devidamente,204
decisÃo,204
comissão,204
ações,204
advogado,204
sÚmula,203
público.,202
publicado,202
mandato,202
indenização,202
incide,202
contribuição,202
aurélio.,202
vencido,201
quer,201
mera,201
dju,201
concluiu,201
violação,200
rcl,200
d,200
nessa,199
decidir,199
trata,198
sete,198
reclamante,198
lsquo,198
consoante,198
reserva,196
processuais,196
peça,196
incidente,196
impetração,196
fundamental,196
folhas,196
excepcional,196
autora,196
alteração,196
vigor,195
verbis,195
impede,195
deputados,195
c/c,195
acÓrdÃo,195
writ,194
determinado,194
condições,194
vara,193
impetrantes,193
descumprimento,193
considerada,193
cláusula,193
ambos,193
referência,192
legislador,192
conversão,191
faz,189
exige,189
contribuiÇÃo,189
ag,189
prejuízo,188
necessária,188
menos,188
alegações,188
extraordinários,187
expressamente,187
eleitoral,187
inexistência,186
estaduais,186
cópia,186
possui,185
ipi,185
gallotti,185
real,184
pretende,184
postulado,184
inscrita,183
federais,183
afirma,183
segurança.,182
reconhecer,182
prescrição,182
inativos,182
improcedente,182
fixação,182
expostas,182
entretanto,182
compete,182
quebra,181
medidas,181
integral,181
suficiente,180
realização,180
original,180
inviabilidade,180
imunidade,180
feita,180
gerador,179
falar,179
validade,178
teto,178
previdência,178
oportunidade,178
entender,178
disposições,178
nele,177
morte,177
mil,177
estatal,177
contida,177
xi,176
votos,176
três,176
mp,176
extinção,176
edição,176
dentre,176
competência,176
afastar,176
termo,175
membros,175
julgou,175
indeferido,175
dever,175
desrespeito,175
contrariedade,175
agrg,175
sigilo,174
