LEXEM,FREQ
recurs,12675
art,12491
agrav,10223
lei,8670
tribun,8291
feder,8154
decis,6380
ministr,6308
julg,6186
prov,6129
constituc,5469
rela,5002
process,4870
turm,4750
constitu,4739
min,4680
direit,4365
rel,4338
extraordin,4268
fl,3875
regiment,3827
artig,3790
ement,3737
est,3717
supr,3622
neg,3508
pod,3433
públic,3389
acórd,3276
ser,3157
cort,3115
recorr,3089
dest,2935
norm,2898
part,2890
instrument,2758
contr,2744
dj,2730
ofens,2663
sobr,2641
dev,2627
fundament,2623
ped,2609
preced,2585
cas,2528
term,2512
conhec,2499
vot,2373
brasíl,2358
aut,2334
justiç,2321
n,2274
açã,2266
assim,2257
ato,2205
pres,2175
sent,2078
med,2066
plen,2037
civil,2016
aleg,2002
decid,1977
val,1930
legal,1908
serv,1892
publique-se.,1892
súmul,1887
entend,1879
limin,1834
princípi,1826
ord,1802
juríd,1766
quest,1763
aplic,1719
efeit,1694
inconstitucional,1687
outr,1680
refer,1677
determin,1677
administr,1653
ldqu,1648
interpost,1642
matér,1639
rdqu,1638
legisl,1624
embarg,1617
fat,1612
impetr,1610
bas,1603
compet,1581
incis,1575
presid,1558
venc,1551
pag,1528
jurisprud,1463
dess,1458
trabalh,1457
prim,1454
profer,1453
segu,1443
cels,1438
cart,1438
nest,1433
infraconstituc,1432
aind,1426
repúbl,1418
declar,1406
seguranç,1403
vist,1398
ant,1398
caus,1397
mell,1396
carl,1390
ocorr,1384
form,1383
ra,1354
extraordinári,1339
tal,1327
cab,1302
ora,1299
cont,1277
ai,1263
viol,1257
estad,1255
relat,1253
mand,1246
senh,1240
incid,1238
stf,1236
suspens,1229
exam,1229
cuj,1225
pertenc,1222
códig,1215
expost,1202
bem,1196
reajust,1178
rtj,1176
orig,1156
impugn,1154
requer,1151
marc,1147
sob,1146
consider,1145
send,1143
habe,1139
superi,1138
qualqu,1136
prest,1135
observ,1135
geral,1133
poi,1121
segund,1120
penal,1119
apel,1119
reconhec,1117
soc,1113
quant,1112
tod,1102
nov,1102
necess,1101
constituiçã,1096
limit,1094
mai,1093
cautel,1093
espec,1079
abril,1073
cf,1071
corpu,1065
seguint,1060
serviç,1059
adquir,1040
disposi,1039
diret,1033
trata-s,1028
praz,1026
sepúlved,1025
indiret,1017
ausent,1014
ness,1006
cpc,998
caput,995
apreci,994
proced,992
apen,991
juíz,983
anteri,973
hipótes,972
