seq_objeto_incidente,dat_autuacao,dat_andamento,cod_andamento
1473617,"1988-03-09 00:00:00","1993-08-20 00:00:00",2054
1473617,"1988-03-09 00:00:00","1994-02-04 00:00:00",2054
1473617,"1988-03-09 00:00:00","1994-08-19 00:00:00",2054
1473617,"1988-03-09 00:00:00","1995-02-03 00:00:00",2054
1473617,"1988-03-09 00:00:00","1995-03-15 00:00:00",2260
1473617,"1988-03-09 00:00:00","1996-11-21 00:00:00",2260
1549063,"1992-10-01 00:00:00","1992-12-18 00:00:00",2054
1549063,"1992-10-01 00:00:00","1992-12-18 00:00:00",2054
1549063,"1992-10-01 00:00:00","1993-09-10 00:00:00",2054
1549063,"1992-10-01 00:00:00","1993-09-10 00:00:00",2054
1569429,"1993-08-03 00:00:00","1993-08-26 00:00:00",3317
1569429,"1993-08-03 00:00:00","1993-09-10 00:00:00",2260
1570211,"1993-08-17 00:00:00","1998-05-07 15:44:23",2260
1582605,"1994-03-09 00:00:00","2006-06-23 16:30:50",2260
1587508,"1994-04-26 00:00:00","1999-11-12 00:00:00",2054
1587508,"1994-04-26 00:00:00","2001-11-09 00:00:00",2054
1621533,"1995-08-04 00:00:00","2001-10-31 00:00:00",2054
1628489,"1995-10-31 00:00:00","1997-09-04 00:00:00",2260
1628489,"1995-10-31 00:00:00","1997-09-04 00:00:00",2260
1639797,"1996-05-03 00:00:00","2001-10-31 00:00:00",2054
1643560,"1996-06-10 00:00:00","1998-03-27 00:00:00",2054
1643560,"1996-06-10 00:00:00","1998-03-27 00:00:00",2054
1643560,"1996-06-10 00:00:00","1998-03-27 00:00:00",2054
1643560,"1996-06-10 00:00:00","1998-03-27 00:00:00",2054
1659677,"1997-02-14 18:17:41","1997-08-01 00:00:00",2054
1815485,"2000-03-31 00:00:00","2000-09-08 00:00:00",2054
1815485,"2000-03-31 00:00:00","2000-09-25 00:00:00",2260
1819833,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1819959,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1819834,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1819960,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1819835,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1820067,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1820109,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1819837,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1820111,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1819838,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1820116,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1819839,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
1820150,"2000-04-26 00:00:00","2002-04-19 00:00:00",2054
