SIG_PROCEDENCIA,DSC_ASSUNTO_COMPLETO,count(ASSUNTO_PROCESSO.SEQ_ASSUNTO_PROCESSO)
**,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | LICENçAS | REGISTRO / PORTE DE ARMA DE FOGO ",1
**,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | GARANTIAS CONSTITUCIONAIS ",3
**,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | CATEGORIAS ESPECIAIS DE SERVIDOR PúBLICO | SERVENTUáRIOS DA JUSTIçA ",1
**,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | REGIME ESTATUTáRIO | ENQUADRAMENTO ",1
**,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | SISTEMA REMUNERATóRIO E BENEFíCIOS | ABONO DE PERMANêNCIA ",3
**,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | SISTEMA REMUNERATóRIO E BENEFíCIOS | ADICIONAL DE DESEMPENHO ",3
**,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | SISTEMA REMUNERATóRIO E BENEFíCIOS | DIáRIAS E OUTRAS INDENIZAçõES ",1
**,"DIREITO CIVIL | FAMíLIA | CASAMENTO E RELAçõES DE PARENTESCO | DISSOLUçãO DE CASAMENTO ",12
**,"DIREITO CIVIL | FAMíLIA | RELAçõES DE PARENTESCO ",5
**,"DIREITO CIVIL | FAMíLIA | RELAçõES DE PARENTESCO | INVESTIGAçãO DE PATERNIDADE ",1
**,"DIREITO CIVIL | OBRIGAçõES | ESPéCIES DE CONTRATOS | ALIENAçãO FIDUCIáRIA ",1
