"UF","Ordinária","Constitucional","Recursal de Massa"
"SP","41047","465","322851"
"RS","10071","272","220092"
"RJ","12314","461","145669"
"MG","9074","195","137646"
"DF","14459","5030","73009"
"PR","4798","221","83742"
"SC","3721","244","69700"
"PE","3090","116","31838"
"BA","2717","87","28095"
"CE","2712","102","24474"
"RN","1734","74","20997"
"GO","2330","126","16027"
"PB","1240","59","15241"
"ES","1874","183","13069"
"AL","910","74","13904"
"MS","3061","86","11299"
"AM","1956","78","9548"
"PA","2119","71","8682"
"MT","1974","108","7672"
"SE","836","49","8763"
"MA","1255","73","5355"
"RO","873","132","4532"
"PI","1105","75","3629"
"AC","648","22","2885"
"TO","728","62","1401"
"RR","600","28","1524"
"AP","359","66","1107"
