DSC_PROCEDENCIA,DSC_CLASSE,count(PROCESSO.SEQ_OBJETO_INCIDENTE)
ACRE,"AÇÃO CAUTELAR",3
ACRE,"AÇÃO CÍVEL ORIGINÁRIA",13
ACRE,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",22
ACRE,"AÇÃO ORIGINÁRIA",51
ACRE,"AÇÃO PENAL",14
ACRE,"AGRAVO DE INSTRUMENTO",1327
ACRE,"ARGUIÇÃO DE RELEVÂNCIA",9
ACRE,"CARTA ROGATÓRIA",158
ACRE,"HABEAS CORPUS",216
ACRE,INQUÉRITO,42
ACRE,"MANDADO DE SEGURANÇA",17
ACRE,PETIÇÃO,28
ACRE,RECLAMAÇÃO,42
ACRE,"RECURSO EXTRAORDINÁRIO",1548
ACRE,"RECURSO EXTRAORDINÁRIO COM AGRAVO",10
ACRE,"RECURSO ORDINÁRIO EM HABEAS CORPUS",6
ACRE,"SENTENÇA ESTRANGEIRA",26
ACRE,"SUSPENSÃO DE SEGURANÇA",23
ALAGOAS,"AÇÃO CAUTELAR",53
ALAGOAS,"AÇÃO CÍVEL ORIGINÁRIA",31
ALAGOAS,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",70
ALAGOAS,"AÇÃO ORIGINÁRIA",46
ALAGOAS,"AÇÃO PENAL",6
ALAGOAS,"AÇÃO RESCISÓRIA",11
ALAGOAS,"AGRAVO DE INSTRUMENTO",5673
ALAGOAS,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",2
ALAGOAS,"ARGUIÇÃO DE RELEVÂNCIA",38
ALAGOAS,"CONFLITO DE COMPETÊNCIA",1
ALAGOAS,"HABEAS CORPUS",200
ALAGOAS,INQUÉRITO,39
ALAGOAS,"INTERVENÇÃO FEDERAL",6
ALAGOAS,"MANDADO DE INJUNÇÃO",2
ALAGOAS,"MANDADO DE SEGURANÇA",39
ALAGOAS,PETIÇÃO,59
ALAGOAS,RECLAMAÇÃO,214
ALAGOAS,"RECURSO EXTRAORDINÁRIO",8215
ALAGOAS,"RECURSO EXTRAORDINÁRIO COM AGRAVO",16
ALAGOAS,"RECURSO ORD. EM MANDADO DE SEGURANÇA",6
ALAGOAS,"RECURSO ORDINÁRIO EM HABEAS CORPUS",3
ALAGOAS,REPRESENTAÇÃO,3
ALAGOAS,"SUSPENSÃO DE LIMINAR",19
ALAGOAS,"SUSPENSÃO DE SEGURANÇA",116
ALAGOAS,"SUSPENSÃO DE TUTELA ANTECIPADA",20
AMAPÁ,"AÇÃO CAUTELAR",34
AMAPÁ,"AÇÃO CÍVEL ORIGINÁRIA",25
AMAPÁ,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",63
AMAPÁ,"AÇÃO ORIGINÁRIA",25
AMAPÁ,"AÇÃO PENAL",2
AMAPÁ,"AGRAVO DE INSTRUMENTO",794
AMAPÁ,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",3
AMAPÁ,"ARGUIÇÃO DE RELEVÂNCIA",7
AMAPÁ,"ARGÜIÇÃO DE SUSPEIÇÃO",3
AMAPÁ,"HABEAS CORPUS",107
AMAPÁ,INQUÉRITO,23
AMAPÁ,"MANDADO DE SEGURANÇA",18
AMAPÁ,PETIÇÃO,27
AMAPÁ,RECLAMAÇÃO,43
AMAPÁ,"RECURSO EXTRAORDINÁRIO",275
AMAPÁ,"RECURSO EXTRAORDINÁRIO COM AGRAVO",38
AMAPÁ,"RECURSO ORDINÁRIO EM HABEAS CORPUS",3
AMAPÁ,"SUSPENSÃO DE LIMINAR",1
AMAPÁ,"SUSPENSÃO DE SEGURANÇA",39
AMAPÁ,"SUSPENSÃO DE TUTELA ANTECIPADA",2
AMAZONAS,"AÇÃO CAUTELAR",42
AMAZONAS,"AÇÃO CÍVEL ORIGINÁRIA",17
AMAZONAS,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",74
AMAZONAS,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE POR OMISSÃO",2
AMAZONAS,"AÇÃO ORIGINÁRIA",60
AMAZONAS,"AÇÃO PENAL",7
AMAZONAS,"AÇÃO RESCISÓRIA",20
AMAZONAS,"AGRAVO DE INSTRUMENTO",4575
AMAZONAS,"ARGUIÇÃO DE RELEVÂNCIA",88
AMAZONAS,"CARTA ROGATÓRIA",19
AMAZONAS,"CONFLITO DE COMPETÊNCIA",263
AMAZONAS,EXTRADIÇÃO,1
AMAZONAS,"HABEAS CORPUS",304
AMAZONAS,INQUÉRITO,52
AMAZONAS,"INTERVENÇÃO FEDERAL",7
AMAZONAS,"MANDADO DE INJUNÇÃO",2
AMAZONAS,"MANDADO DE SEGURANÇA",33
AMAZONAS,PETIÇÃO,54
AMAZONAS,RECLAMAÇÃO,147
AMAZONAS,"RECURSO EXTRAORDINÁRIO",4943
AMAZONAS,"RECURSO EXTRAORDINÁRIO COM AGRAVO",30
AMAZONAS,"RECURSO ORD. EM MANDADO DE SEGURANÇA",11
AMAZONAS,"RECURSO ORDINÁRIO EM HABEAS CORPUS",29
AMAZONAS,REPRESENTAÇÃO,2
AMAZONAS,"SENTENÇA ESTRANGEIRA",20
AMAZONAS,"SUSPENSÃO DE LIMINAR",9
AMAZONAS,"SUSPENSÃO DE SEGURANÇA",768
AMAZONAS,"SUSPENSÃO DE TUTELA ANTECIPADA",3
BAHIA,"AÇÃO CAUTELAR",97
BAHIA,"AÇÃO CÍVEL ORIGINÁRIA",66
BAHIA,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",76
BAHIA,"AÇÃO ORIGINÁRIA",66
BAHIA,"AÇÃO PENAL",23
BAHIA,"AÇÃO RESCISÓRIA",65
BAHIA,"AGRAVO DE INSTRUMENTO",22376
BAHIA,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",1
BAHIA,"ARGUIÇÃO DE RELEVÂNCIA",216
BAHIA,"CARTA ROGATÓRIA",1
BAHIA,COMUNICAÇÃO,2
BAHIA,"CONFLITO DE COMPETÊNCIA",24
BAHIA,"HABEAS CORPUS",1092
BAHIA,"HABEAS DATA",1
BAHIA,INQUÉRITO,102
BAHIA,"INTERVENÇÃO FEDERAL",7
BAHIA,"MANDADO DE INJUNÇÃO",10
BAHIA,"MANDADO DE SEGURANÇA",119
BAHIA,PETIÇÃO,145
BAHIA,RECLAMAÇÃO,338
BAHIA,"RECURSO EXTRAORDINÁRIO",5650
BAHIA,"RECURSO EXTRAORDINÁRIO COM AGRAVO",69
BAHIA,"RECURSO ORD. EM MANDADO DE SEGURANÇA",13
BAHIA,"RECURSO ORDINÁRIO EM HABEAS CORPUS",50
BAHIA,REPRESENTAÇÃO,2
BAHIA,"REVISÃO CRIMINAL",2
BAHIA,"SUSPENSÃO DE LIMINAR",49
BAHIA,"SUSPENSÃO DE SEGURANÇA",207
