Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,816
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,373
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,185
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS/ES,67
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.ESPÍRITO SANTO,51
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,27
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,25
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 2º REGIÃO,3
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,2
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,2
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,2
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SANTA CATARINA,1
TURMA NACIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 2º REGIÃO,1
