Origem,Num. de Processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,15
2ª TURMA REC. M. DOS JUIZADOS ESP. CÍV. E CRIM./MS,11
JUIZADOS ESPECIAIS (ART.98 DA C.F.),2
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,2
JUIZADO DE PEQUENAS CAUSAS,2
TURMA JULG. CRIM. JUIZADOS ESP. COMARCA GOIÂNIA-GO,1
COL. REC. JUIZADO ESP. CÍVEL DE CAMPO GRANDE - MS,1
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
TURMA REC. JUIZADO ESP. CAUSAS CÍVEIS - CHAPECÓ/SC,1
3ª TURMA REC.MISTA JUIZ.ESP.CÍVEIS.CRIM.DE MS,1
