Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,7795
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,400
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,206
COLEGIO REC.DOS JUIZ.ESP.CIV.DA COM.DA CAPITAL/PE,201
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,159
1º COLG. RECURSAL DOS JUIZ.ESPECIAIS CIVEIS/PE  ,154
1º COLEGIO REC.DOS JUIZADOS ESP.CIVEIS - RECIFE/PE,45
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PERNAMBUCO,39
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,7
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,7
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,4
COLEGIO REC.JUIZ.ESP.CIVEIS E CRIMINAIS DO ESTADO ,2
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. MINAS GERAIS,2
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,2
