ano,uf,processos
2002,AC,80
2003,AC,338
2004,AC,245
2005,AC,48
2006,AC,18
2007,AC,27
2008,AC,5
2009,AC,2
2010,AC,21
2003,AL,3
2004,AL,5
2005,AL,3
2006,AL,454
2007,AL,25
2008,AL,9
2009,AL,20
2010,AL,19
2000,AM,11
2001,AM,11
2002,AM,13
2003,AM,23
2004,AM,9
2005,AM,114
2006,AM,710
2007,AM,63
2008,AM,7
2009,AM,30
2010,AM,61
2000,AP,2
2002,AP,8
2003,AP,6
2006,AP,75
2007,AP,36
2008,AP,6
2009,AP,2
2010,AP,16
2000,BA,12
2001,BA,17
2002,BA,112
2003,BA,517
2004,BA,82
2005,BA,78
2006,BA,133
2007,BA,1199
2008,BA,1663
2009,BA,138
2010,BA,642
2000,CE,1
2001,CE,1
2002,CE,10
2003,CE,31
2004,CE,15
2005,CE,18
2006,CE,24
2007,CE,18
2008,CE,11
2009,CE,28
2010,CE,72
2000,DF,2
2001,DF,1
2002,DF,11
2003,DF,218
2004,DF,510
2005,DF,600
2006,DF,223
2007,DF,241
2008,DF,157
2009,DF,253
2010,DF,108
2000,ES,7
2001,ES,7
2002,ES,17
2003,ES,34
2004,ES,71
2005,ES,106
2006,ES,403
2007,ES,410
2008,ES,250
2009,ES,225
2010,ES,445
2000,GO,10
2001,GO,7
2002,GO,27
2003,GO,318
2004,GO,127
2005,GO,62
2006,GO,111
2007,GO,75
2008,GO,314
2009,GO,50
2010,GO,127
2000,MA,1
2001,MA,1
2002,MA,8
2003,MA,31
2004,MA,2
2005,MA,22
2006,MA,14
2007,MA,16
2008,MA,11
2009,MA,7
2010,MA,36
2000,MG,23
2001,MG,12
2002,MG,22
2003,MG,152
2004,MG,175
2005,MG,215
2006,MG,480
2007,MG,1866
2008,MG,385
2009,MG,550
2010,MG,1106
2001,MS,5
2002,MS,35
2003,MS,110
2004,MS,60
2005,MS,52
2006,MS,130
2007,MS,30
2008,MS,47
2009,MS,10
2010,MS,266
2000,MT,6
2001,MT,4
2002,MT,91
2003,MT,101
2004,MT,164
2005,MT,42
2006,MT,62
2007,MT,71
2008,MT,62
2009,MT,35
2010,MT,108
2001,PA,4
2002,PA,5
2003,PA,22
2004,PA,19
2005,PA,23
2006,PA,52
2007,PA,33
2008,PA,15
2009,PA,15
2010,PA,57
2000,PB,3
2001,PB,1
2002,PB,6
2003,PB,29
2004,PB,22
2005,PB,28
2006,PB,210
2007,PB,170
2008,PB,59
2009,PB,23
2010,PB,231
2000,PE,29
2001,PE,29
2002,PE,316
2003,PE,233
2004,PE,74
2005,PE,409
2006,PE,5357
2007,PE,2170
2008,PE,112
2009,PE,87
2010,PE,89
2000,PI,10
2001,PI,7
2002,PI,6
2003,PI,19
2004,PI,114
2005,PI,81
2006,PI,11
2007,PI,12
2008,PI,1
2009,PI,9
2010,PI,2
2000,PR,5
2001,PR,2
2002,PR,18
2003,PR,54
2004,PR,422
2005,PR,2612
2006,PR,1459
2007,PR,1222
2008,PR,724
2009,PR,370
2010,PR,405
2000,RJ,20
2001,RJ,92
2002,RJ,159
2003,RJ,502
2004,RJ,2602
2005,RJ,7852
2006,RJ,14565
2007,RJ,3442
2008,RJ,971
2009,RJ,630
2010,RJ,510
2000,RN,6
2001,RN,13
2002,RN,32
2003,RN,45
2004,RN,69
2005,RN,104
2006,RN,239
2007,RN,30
2008,RN,16
2009,RN,16
2010,RN,75
2001,RO,1
2002,RO,2
2003,RO,102
2004,RO,643
2005,RO,9
2006,RO,48
2007,RO,32
2008,RO,7
2009,RO,12
2010,RO,8
2002,RR,2
2003,RR,6
2004,RR,7
2005,RR,2
2006,RR,36
2007,RR,11
2008,RR,7
2010,RR,6
2000,RS,12
2001,RS,15
2002,RS,20
2003,RS,196
2004,RS,222
2005,RS,302
2006,RS,359
2007,RS,1916
2008,RS,461
2009,RS,419
2010,RS,2160
2000,SC,20
2001,SC,7
2002,SC,76
2003,SC,1054
2004,SC,539
2005,SC,924
2006,SC,660
2007,SC,630
2008,SC,437
2009,SC,430
2010,SC,366
2000,SE,1
2002,SE,5
2003,SE,8
2004,SE,38
2005,SE,21
2006,SE,548
2007,SE,164
2008,SE,212
2009,SE,439
2010,SE,67
2000,SP,90
2001,SP,142
2002,SP,227
2003,SP,233
2004,SP,336
2005,SP,506
2006,SP,1463
2007,SP,1976
2008,SP,756
2009,SP,1356
2010,SP,3551
2000,TO,1
2003,TO,102
2004,TO,36
2005,TO,8
2006,TO,7
2007,TO,11
2008,TO,7
2009,TO,9
2010,TO,10
