Origem,Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,3171
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,1214
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.BAHIA,639
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,577
CONSELHO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS DO ESTADO DO RIO DE JANEIRO.,196
TURMA REC. ÚNICA JUIZADOS ESP. CIV. E CRIM. PARANÁ,155
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,78
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARANÁ,64
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.DISTRITO FEDERAL ,61
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,54
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.RIO GRANDE DO SUL,47
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SANTA CATARINA,41
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. RIO DE JANEIRO,39
TURMA REC. DOS JUIZADOS ESPEC. FEDERAIS DO DF,29
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,25
2ª TURMA REC. M. DOS JUIZADOS ESP. CÍV. E CRIM./MS,24
1º COL.REC.DOS JUIZ.ESP.CIV.DA COM. DA CAPITAL/SP,20
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. MINAS GERAIS,15
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,12
TURMA REC. DOS JUIZADOS ESP. FED. DE OSASCO/SP,12
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM.GUARATINGUETÁ/SP,12
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS/ES,11
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS DE BAURU/SP,11
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.ESPÍRITO SANTO,9
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.DE MINAS GERAIS,8
1ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,8
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,8
COLEGIO REC.DO JUIZ.ESP.CIVEL- COM.DE SANTO ANDRE,7
4ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,6
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SERGIPE,6
COL. REC. DO JUIZ. ESP.CÍV. DA COM. DE SÃO CAETANO DO SUL,6
TURMA REC.JUIZ.ESP.CÍV/CRIMINAIS DE CATAGUASES/MG,6
COLEGIADO REC. JUIZADOS ESP. DO ESTADO DA BAHIA,6
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.GOIAS,6
7ª TURMA REC DO JUIZ. ESP. CÍVEL COM. B. HORIZONTE,5
6ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,5
1ª TURMA REC. JUIZ. ESP. CRIMINAL - BELO HORIZONTE,5
3ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,5
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 2º REGIÃO,5
1º COLEGIO REC.DOS JUIZADOS ESP.CIVEIS - RECIFE/PE,5
COL. REC. JUIZADO ESP. CÍVEL MOGI DAS CRUZES/SP,5
1ª TURMA REC. DOS JUIZADOS ESP. CIVEIS E CRIM./DF,4
2ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE ,4
2ª TURMA RECURSAL DOS JUIZADOS ESPECIAIS/PA,4
2ª TURMA REC. DOS JUIZADOS ESP. CIVEIS E CRIM./DF,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MATO GROSSO DO SUL,3
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL DE TUPÃ,3
1ª TURMA REC.DOS JUIZ.ESP.CIVEIS DE BELO HORIZONTE,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MARANHAO,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARAIBA ,3
3º COLEGIO REC.JUIZ.ESP.CIVEIS DA CAPITAL/SP,3
2º COLEGIO REC.DOS JUIZ. ESP.CIVEIS DA CAPITAL/SP,3
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,3
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,3
2ª TURMA REC.DOS JUIZ.ESP.CIV. E CRIM.DE NATAL/RN,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.AMAZONAS E RORAIMA,2
COLÉGIO REC.DO JUIZ.ESP.CIVEL DA COM.DE PIRACICABA,2
COLÉGIO REC. JUIZADO ESPECIAL CÍVEL COM. DE JAÚ/SP,2
4º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,2
3ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,2
4ª TURMA REC. DO CONS. REC. DOS JUIZ. ESP. CÍV. E CRIM. DA COM. DA CAPITAL DO ESTADO DO RIO DE JANEIRO.,2
COLÉGIO REC.JUIZADO ESPECIAL CÍVEL DE ARAÇATUBA/SP,2
1ª TURMA REC.CRIM.JUIZADOS ESP.RIO GRANDE DO SUL,2
5ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE,2
TURMA RECURSAL JUIZ.ESP.CIVEL DA COMARCA DE ARAXA,2
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MATO GROSSO,2
1ª TURMA REC.JUIZ.ESP.CIV.E CRIMINAIS COM.DE NATAL,2
TURMA REC.JUIZ. ESP.CIV.E CRIM.DE POUSO ALEGRE/MG,2
COLEGIO REC.DO JUIZ.ESP.CIVEL DA COM.DE BARRETOS,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PERNAMBUCO,1
TURMA REC.DO JUIZADO ESP.CIVEL DA COM.DE LAVRAS/MG,1
COLÉGIO REC.JUIZ.ESP.CIVEL COMARCA  GUARULHOS/SP,1
TERCEIRA TURMA REC. MISTA DOS JUIZADOS ESP. CÍVEIS E CRIMINAIS DE CAMPO GRANDE/MS,1
COLÉGIO REC. JUIZ. ESP. CIVEIS DE PRES.PRUDENTE/SP,1
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE VOTUPORANGA,1
3ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,1
1ª TURMA REC.JUIZADOS ESP.COMARCA JUIZ DE FORA/MG ,1
TURMA JULG.DE RECURSOS DOS JUIZ.ESPECIAIS/SE,1
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,1
COL.REC.JUIZ.ESP.CÍVEIS 44ª CIRC. JUD.GUARULHOS/SP,1
8ªTURMA REC.J.ESP.REL.CONSUMO COM. BELO HORIZONTE,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SÃO PAULO,1
3ª TURMA REC.CIVEL DOS JUIZ.ESPECIAIS DE CUIABA,1
1ª TURMA REC.JUIZ.ESP.CÍVEL COMARCA DE CONTAGEM/MG,1
TURMA REC.CIV.JUIZ.ESP.REL.CONSUMO/BELO HORIZONTE,1
TURMA NAC.DE UNIFORMIZAÇAO DOS JUIZ.ESP.FEDERAIS,1
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ITÚ/SP,1
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. SÃO VICENTE/SP,1
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. TAUBATÉ/SP,1
3ª TURMA REC.MISTA JUIZ.ESP.CÍVEIS.CRIM.DE MS,1
COLÉGIO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS DA COMARCA DE ITAPETININGA/SP,1
