Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,54542
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,16771
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,3758
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.BAHIA,1216
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,977
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.RIO GRANDE DO SUL,459
CONSELHO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS DO ESTADO DO RIO DE JANEIRO.,444
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,443
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SANTA CATARINA,372
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,287
TURMA REC.JUIZ.ESP.CÍV/CRIMINAIS DE CATAGUASES/MG,271
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARANÁ,245
TURMA REC. ÚNICA JUIZADOS ESP. CIV. E CRIM. PARANÁ,227
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. RIO DE JANEIRO,210
COLEGIO REC.DOS JUIZ.ESP.CIV.DA COM.DA CAPITAL/PE,202
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,193
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,185
1º COL.REC.DOS JUIZ.ESP.CIV.DA COM. DA CAPITAL/SP,183
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.DISTRITO FEDERAL ,177
1º COLG. RECURSAL DOS JUIZ.ESPECIAIS CIVEIS/PE  ,156
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,121
TURMA REC. DOS JUIZADOS ESPEC. FEDERAIS DO DF,116
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,74
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS/ES,67
2ª TURMA REC. M. DOS JUIZADOS ESP. CÍV. E CRIM./MS,53
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.ESPÍRITO SANTO,51
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,49
1ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,49
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM.GUARATINGUETÁ/SP,48
1ª TURMA REC.JUIZ.ESP.CIVEL ECRIM. ESTADO DO ACRE,46
1º COLEGIO REC.DOS JUIZADOS ESP.CIVEIS - RECIFE/PE,45
2º COLEGIO REC. JUIZ.ESP.CIVEIS DA  CAPITAL/SP,44
COLEGIO REC.JUIZ.ESP.CIVEIS E CRIMINAIS DO ESTADO ,43
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,42
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PERNAMBUCO,40
1ª TURMA REC.JUIZADOS ESP.COMARCA JUIZ DE FORA/MG ,38
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS DE BAURU/SP,37
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,37
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SERGIPE,36
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. MINAS GERAIS,35
2º COLEGIO REC.DOS JUIZ. ESP.CIVEIS DA CAPITAL/SP,31
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,31
1ª TURMA REC. CÍVEL JUIZ.ESP.ESTADO DE MATO GROSSO,30
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MATO GROSSO,27
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.DE MINAS GERAIS,27
3º COLEGIO REC.JUIZ.ESP.CIV.COM.DA CAPITAL/SP ,26
3ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,25
TURMA REC. DOS JUIZADOS ESP. FED. DE OSASCO/SP,24
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 2º REGIÃO,22
4º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,22
TURMA RECURSAL DOS JUIZADOS ESPECIAIS DO ESTADO DO AMAPÁ,21
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARAIBA ,20
1ª TURMA REC. DOS JUIZADOS ESP. CIVEIS E CRIM./DF,19
2ª TURMA REC. DOS JUIZADOS ESP. CIVEIS E CRIM./DF,19
3º COLEGIO REC.JUIZ.ESP.CIVEIS DA CAPITAL/SP,18
2ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE ,17
3ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,16
1ª TURMA REC.JUIZ.ESP.CIV.E CRIMINAIS COM.DE NATAL,16
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,16
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.AMAZONAS E RORAIMA,15
4ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,15
TURMA JULGAD. CIVEL DOS JUIZ.ESPECIAIS DE GOIANIA,15
1ª TURMA REC.DOS JUIZ.ESP.CIVEIS DE BELO HORIZONTE,14
COLEGIADO REC. JUIZADOS ESP. DO ESTADO DA BAHIA,14
2ª TURMA REC.DOS JUIZ.ESP.CIV. E CRIM.DE NATAL/RN,14
2ª TURMA RECURSAL DOS JUIZADOS ESPECIAIS/PA,13
2ª TURMA REC.CIV.DOS JUIZ.ESP.ESTADO MATO GROSSO,13
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 3º REGIÃO,12
3ª TURMA REC.MISTA JUIZ.ESP.CÍVEIS.CRIM.DE MS,11
JUIZADO DE PEQUENAS CAUSAS,11
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE SAO CARLOS/SP,10
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL DE TUPÃ,10
3ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,10
COLÉGIO REC. DO JUIZADO ESPECIAL DE SANTOS,10
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MARANHAO,10
6ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,10
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.GOIAS,10
JUIZADOS ESPECIAIS (ART.98 DA C.F.),10
COLÉGIO REC.JUIZ.ESP.PEQ.CAUSAS DE SÃO CARLOS/SP ,9
COL. REC. JUIZADO ESP. CÍVEL MOGI DAS CRUZES/SP,9
JUIZADO ESPECIAL CIVEL DA COMARCA DE BAURU ,9
JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS - RN,9
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.RIO GRANDE DO NORTE,8
COL. REC. DO JUIZ. ESP.CÍV. DA COM. DE SÃO CAETANO DO SUL,8
COLEGIO REC.DO JUIZ.ESP.CIVEL- COM.DE SANTO ANDRE,8
TURMA REC. JUIZADO ESP. CAUSAS CÍVEIS - CHAPECÓ/SC,8
COLEGIO REC.DOS JUIZ.ESP.CIVEL DE PIRASSUNUNGA/SP,7
JUIZADOS ESP. CIV.E CRIMINAIS  DA COMARCA DE NATAL,7
1ª TURMA REC.JUIZ.ESP.CÍV.ESTADO DO RIO DE JANEIRO,7
JUIZADOS ESPECIAIS DE PEQUENAS CAUSAS  DE BAURU/SP,7
TURMA RECURSAL CÍVEL DOS JUIZ. ESPECIAIS DE MANAUS,7
COLÉGIO RECURSAL JUIZ.ESP.CÍVEL DA COMARCA JUNDIAI,6
3º COLEGIO REC.DO JUIZ. ESP. DE PEQUENAS CAUSAS/SP,6
JUIZADO ESPECIAL CÍVEL DE DEFESA DO CONSUMIDOR,6
7ª TURMA REC DO JUIZ. ESP. CÍVEL COM. B. HORIZONTE,6
COLÉGIO REC.DO JUIZ.ESP.CIVEL DA COM.DE PIRACICABA,6
TURMA JULG. CRIM. JUIZADOS ESP. COMARCA GOIÂNIA-GO,6
TURMA REC.JUIZ. ESP.CIV.E CRIM.DE POUSO ALEGRE/MG,6
1ª TURMA REC. JUIZ. ESP. CRIMINAL - BELO HORIZONTE,6
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. SÃO PAULO,6
5ª TURMA REC.JUIZ.ESP.CIV.E CRIM. FORTALEZA/CE,5
TURMA REC. DOS JUIZ.ESP.CIV. CRIMINAIS DE MANAUS  ,5
TURMA REC.DO JUIZADO ESP.CIVEL DA COM.DE LAVRAS/MG,5
1ª TURMA REC.CRIM.JUIZADOS ESP.RIO GRANDE DO SUL,5
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE VOTUPORANGA,5
COLÉGIO REC.JUIZADO ESPECIAL CÍVEL DE ARAÇATUBA/SP,5
5ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE,5
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ITÚ/SP,5
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. SÃO VICENTE/SP,5
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SÃO PAULO,5
1ª TURMA RECURSAL DOS JUIZADOS ESPECIAIS/PA,5
TURMAS REC.JUIZ.ESP.CIV.E CRIM.DA COM.FORTALEZA/CE,5
2ª TURMA REC.JUIZ.ESP.CIV.E CRIM. ESTADO DA BAHIA,5
1ª TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SÃO PAULO,5
COLÉGIO REC. JUIZ. ESP. CIVEIS DE PRES.PRUDENTE/SP,5
4ª TURMA REC. DO CONS. REC. DOS JUIZ. ESP. CÍV. E CRIM. DA COM. DA CAPITAL DO ESTADO DO RIO DE JANEIRO.,5
TURMA REC.DO JUIZ.ESP.CIVEL DA COM.DE LONDRINA/PR ,4
COLÉGIO REC. JUIZADO ESPECIAL CÍVEL COM. DE JAÚ/SP,4
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ARARAQUARA /SP ,4
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.ALAGOAS,4
COLEGIO REC.JUIZ.ESP.CIVEL COMAR. PRES.PRUDENTE/SP,4
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MATO GROSSO DO SUL,4
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. TAUBATÉ/SP,4
TURMA RECURSAL JUIZ.ESP.CIVEL DA COMARCA DE ARAXA,3
COL. REC. JUIZADO ESP. CÍVEL DE CAMPO GRANDE - MS,3
TURMA REC DO JUIZADO ESPECIAL CÍVEL DE UBERLÂNDIA,3
COLÉGIO REC.JUIZ.ESP.CIVEL COMARCA  GUARULHOS/SP,3
TURMA NAC.DE UNIFORMIZAÇAO DOS JUIZ.ESP.FEDERAIS,3
JUIZADO ESPECIAL CIVEL DA COMARCA DE FRANCA/SP,3
TURMA REC.CIV.JUIZ.ESP.REL.CONSUMO/BELO HORIZONTE,3
2ª TURMA REC.JUIZ.ESP.CIV.E CRIM. FORTALEZA/CE,3
8ªTURMA REC.J.ESP.REL.CONSUMO COM. BELO HORIZONTE,3
2ª TURMA REC.CIVEIS DOS JUIZ.ESPECIAIS DE CUIABA,3
6º COLÉGIO REC. DO JUIZ. ESP. CÍVEL DA COMARCA DA CAPITAL/SP,3
COLÉGIO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS DA COMARCA DE ITAPETININGA/SP,3
COL.REC.JUIZ.ESP.CÍVEIS 44ª CIRC. JUD.GUARULHOS/SP,3
1ª TURMA REC.JUIZ.ESP.CÍVEL COMARCA DE CONTAGEM/MG,3
JUIZADO ESP. CIVEL DA COMARCA DE BELO HORIZONTE ,3
1ª TURMA REC.JUIZ.ESP.CIV.E CRIM. FORTALEZA/CE,2
3ª TURMA REC.CIVEL DOS JUIZ.ESPECIAIS DE CUIABA,2
TURMA JULG.CÍVEL JUIZADOS ESPECIAIS DE ANAPOLIS/GO,2
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COMARCA DE OSASCO ,2
JUIZADO ESPECIAL CÍVEL DA COMARCA DE AVARÉ,2
JUIZADO ESPECIAL CRIM. DA COM.DE BELO HORIZONTE,2
3ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA,2
5º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,2
COLEGIO REC.DOS JUIZ. ESP.DA COMARCA DE AMERICANA/SP,2
1ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA  ,2
TURMA JULG.DE RECURSOS DOS JUIZ.ESPECIAIS/SE,2
TURMA REC.DO JUIZADO ESPECIAL DE PORTO ALEGRE/RS,2
JUIZADO ESPECIAL CIVEL DA COMARCA DE SOROCABA,2
JUIZADO ESPECIAL CÍVEL DA COMARCA DE LINS/SP,2
TURMA NACIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,2
1ª TURMA REC. DOS JUIZADOS ESP. FEDERAIS DA SJ/RJ,2
JUIZADOS ESP.PEQ.CAUSAS COMARCA DE ARARAQUARA,2
TURMA REGIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,1
TURMA REGIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 3º REGIÃO,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS DE RORAIMA,1
2º COLEGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/SP,1
TURMA NACIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 2º REGIÃO,1
TURMA REC. DOS JUIZADOS ESP. FED. DE CAMPINAS/SP,1
TURMA JULG.DO JUIZ.ESP.CIVEL DA COM.DE GURUPI/TO,1
16ª TURMA REC.DO JUIZADO ESP.DE CAMPO MOURAO/PR,1
COLEGIO REC.JUIZ.ESP.CIVEL DA COM.DE CATANDUVA/SP,1
JUIZADO ESP. CIV. DEF. DO CONSUMIDOR DE ITABUNA/BA,1
COLEGIO REC.DO JUIZ.ESP.CIV.DA COM.DE RIO CLARO/SP,1
