Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,779
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,195
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARANÁ,180
TURMA REC. ÚNICA JUIZADOS ESP. CIV. E CRIM. PARANÁ,46
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,8
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,4
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,3
TURMA REC.DO JUIZ.ESP.CIVEL DA COM.DE LONDRINA/PR ,2
JUIZADOS ESPECIAIS (ART.98 DA C.F.),1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PERNAMBUCO,1
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARAIBA ,1
TURMA RECURSAL DOS JUIZ.ESP.FEDERAIS DE CURITIBA,1
