Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,366
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,254
CONSELHO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS DO ESTADO DO RIO DE JANEIRO.,195
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,78
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. RIO DE JANEIRO,39
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,15
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,12
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 2º REGIÃO,4
3ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,2
4ª TURMA REC. DO CONS. REC. DOS JUIZ. ESP. CÍV. E CRIM. DA COM. DA CAPITAL DO ESTADO DO RIO DE JANEIRO.,2
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,2
TURMA JULG.DE RECURSOS DOS JUIZ.ESPECIAIS/SE,1
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,1
