Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,244
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,118
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.RIO GRANDE DO SUL,47
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,16
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,13
1ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,8
3ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,5
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,3
1ª TURMA REC.CRIM.JUIZADOS ESP.RIO GRANDE DO SUL,2
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,2
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MATO GROSSO DO SUL,2
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.BAHIA,1
