Origem,Num. de Processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,407
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,55
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,8
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
TURMA REC.JUIZ.ESP.CÍV/CRIMINAIS DE CATAGUASES/MG,1
TURMA REC.CIV.JUIZ.ESP.REL.CONSUMO/BELO HORIZONTE,1
3ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA,1
2ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE ,1
1ª TURMA REC.DOS JUIZ.ESP.CIVEIS DE BELO HORIZONTE,1
JUIZADO ESPECIAL CRIM. DA COM.DE BELO HORIZONTE,1
JUIZADO ESP. CIVEL DA COMARCA DE BELO HORIZONTE ,1
JUIZADO ESPECIAL CRIMINAL DE JUIZ DE FORA ,1
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,1
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,1
