Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,24058
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,5298
CONSELHO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS DO ESTADO DO RIO DE JANEIRO.,443
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,286
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. RIO DE JANEIRO,210
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,187
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,128
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,118
COLEGIO REC.JUIZ.ESP.CIVEIS E CRIMINAIS DO ESTADO ,24
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,21
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 2º REGIÃO,19
3ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,16
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,12
1ª TURMA REC.JUIZ.ESP.CÍV.ESTADO DO RIO DE JANEIRO,7
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,6
4ª TURMA REC. DO CONS. REC. DOS JUIZ. ESP. CÍV. E CRIM. DA COM. DA CAPITAL DO ESTADO DO RIO DE JANEIRO.,5
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,3
TURMA REC. JUIZADO ESP. CAUSAS CÍVEIS - CHAPECÓ/SC,2
1ª TURMA REC. DOS JUIZADOS ESP. FEDERAIS DA SJ/RJ,2
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,2
TURMA NAC.DE UNIFORMIZAÇAO DOS JUIZ.ESP.FEDERAIS,1
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ITÚ/SP,1
TURMA JULG.DE RECURSOS DOS JUIZ.ESPECIAIS/SE,1
I JUIZADO ESPECIAL CÍVEL DE NOVA FRIBURGO/RJ,1
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
2ª TURMA REC.CIVEIS DOS JUIZ.ESPECIAIS DE CUIABA,1
TURMA JULG. CRIM. JUIZADOS ESP. COMARCA GOIÂNIA-GO,1
JUIZADOS ESPECIAIS (ART.98 DA C.F.),1
