Origem,Num. de Processos
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,500
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,100
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,47
1º COL.REC.DOS JUIZ.ESP.CIV.DA COM. DA CAPITAL/SP,20
TURMA REC. DOS JUIZADOS ESP. FED. DE OSASCO/SP,12
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM.GUARATINGUETÁ/SP,12
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS DE BAURU/SP,11
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,8
COLEGIO REC.DO JUIZ.ESP.CIVEL- COM.DE SANTO ANDRE,7
COL. REC. DO JUIZ. ESP.CÍV. DA COM. DE SÃO CAETANO DO SUL,6
COL. REC. JUIZADO ESP. CÍVEL MOGI DAS CRUZES/SP,5
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL DE TUPÃ,3
3º COLEGIO REC.JUIZ.ESP.CIVEIS DA CAPITAL/SP,3
2º COLEGIO REC.DOS JUIZ. ESP.CIVEIS DA CAPITAL/SP,3
COLÉGIO REC.DO JUIZ.ESP.CIVEL DA COM.DE PIRACICABA,2
4º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,2
COLÉGIO REC.JUIZADO ESPECIAL CÍVEL DE ARAÇATUBA/SP,2
COLÉGIO REC. JUIZADO ESPECIAL CÍVEL COM. DE JAÚ/SP,2
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. TAUBATÉ/SP,1
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ITÚ/SP,1
COLÉGIO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS DA COMARCA DE ITAPETININGA/SP,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SÃO PAULO,1
COL.REC.JUIZ.ESP.CÍVEIS 44ª CIRC. JUD.GUARULHOS/SP,1
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE VOTUPORANGA,1
COLEGIO REC.DO JUIZ.ESP.CIVEL DA COM.DE BARRETOS,1
COLÉGIO REC.JUIZ.ESP.CIVEL COMARCA  GUARULHOS/SP,1
COLÉGIO REC. JUIZ. ESP. CIVEIS DE PRES.PRUDENTE/SP,1
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. SÃO VICENTE/SP,1
