Origem,Num. de Processos
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,2930
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,1728
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,1522
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,194
1º COL.REC.DOS JUIZ.ESP.CIV.DA COM. DA CAPITAL/SP,183
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,180
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM.GUARATINGUETÁ/SP,48
2º COLEGIO REC. JUIZ.ESP.CIVEIS DA  CAPITAL/SP,43
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS DE BAURU/SP,37
2º COLEGIO REC.DOS JUIZ. ESP.CIVEIS DA CAPITAL/SP,31
3º COLEGIO REC.JUIZ.ESP.CIV.COM.DA CAPITAL/SP ,26
TURMA REC. DOS JUIZADOS ESP. FED. DE OSASCO/SP,24
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,23
4º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,22
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,18
3º COLEGIO REC.JUIZ.ESP.CIVEIS DA CAPITAL/SP,18
COLEGIO REC.JUIZ.ESP.CIVEIS E CRIMINAIS DO ESTADO ,13
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 3º REGIÃO,12
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE SAO CARLOS/SP,10
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL DE TUPÃ,10
COLÉGIO REC. DO JUIZADO ESPECIAL DE SANTOS,10
JUIZADO ESPECIAL CIVEL DA COMARCA DE BAURU ,9
COLÉGIO REC.JUIZ.ESP.PEQ.CAUSAS DE SÃO CARLOS/SP ,9
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,9
COL. REC. JUIZADO ESP. CÍVEL MOGI DAS CRUZES/SP,9
COL. REC. DO JUIZ. ESP.CÍV. DA COM. DE SÃO CAETANO DO SUL,8
COLEGIO REC.DO JUIZ.ESP.CIVEL- COM.DE SANTO ANDRE,8
COLEGIO REC.DOS JUIZ.ESP.CIVEL DE PIRASSUNUNGA/SP,7
JUIZADOS ESPECIAIS DE PEQUENAS CAUSAS  DE BAURU/SP,7
COLÉGIO RECURSAL JUIZ.ESP.CÍVEL DA COMARCA JUNDIAI,6
COLÉGIO REC.DO JUIZ.ESP.CIVEL DA COM.DE PIRACICABA,6
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. SÃO PAULO,6
3º COLEGIO REC.DO JUIZ. ESP. DE PEQUENAS CAUSAS/SP,6
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SÃO PAULO,5
1ª TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SÃO PAULO,5
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. SÃO VICENTE/SP,5
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE VOTUPORANGA,5
COLÉGIO REC.JUIZADO ESPECIAL CÍVEL DE ARAÇATUBA/SP,5
