"uf","processos-jec","total-processos","indice"
"PE","9023","24319.0","37.1026769193"
"AC","768","2140.0","35.8878504673"
"RJ","30855","110742.0","27.8620577559"
"RO","859","3366.0","25.5199049317"
"SE","1439","5657.0","25.4375110483"
"BA","3953","21182.0","18.6620715702"
"ES","1555","8500.0","18.2941176471"
"TO","181","1197.0","15.1211361738"
"AM","994","6817.0","14.5811940736"
"AP","135","993.0","13.5951661631"
"PR","6893","61996.0","11.1184592554"
"MT","642","6170.0","10.4051863857"
"SC","4778","50794.0","9.40662282947"
"GO","1104","11759.0","9.38855344842"
"PI","270","3024.0","8.92857142857"
"MS","484","8186.0","5.91253359394"
"RR","71","1361.0","5.21675238795"
"PB","551","11949.0","4.61126454097"
"DF","2229","48557.0","4.59048129003"
"AL","519","11726.0","4.42606174313"
"SP","7277","189077.0","3.84869656278"
"MG","3889","102330.0","3.80044952604"
"RN","570","16345.0","3.48730498623"
"MA","113","3970.0","2.84634760705"
"PA","189","6748.0","2.80082987552"
"RS","3926","148783.0","2.63874232943"
"CE","159","17548.0","0.906086163665"
