origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,873
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,75
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.AMAZONAS E RORAIMA,15
TURMA RECURSAL CÍVEL DOS JUIZ. ESPECIAIS DE MANAUS,7
TURMA REC. DOS JUIZ.ESP.CIV. CRIMINAIS DE MANAUS  ,5
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,4
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,4
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,3
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,2
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,2
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,1
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,1
TURMA REC. JUIZADO ESP. CAUSAS CÍVEIS - CHAPECÓ/SC,1
COLEGIO REC.JUIZ.ESP.CIVEIS E CRIMINAIS DO ESTADO ,1
