origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,1710
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.BAHIA,1213
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,873
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,116
COLEGIADO REC. JUIZADOS ESP. DO ESTADO DA BAHIA,14
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,8
JUIZADO ESPECIAL CÍVEL DE DEFESA DO CONSUMIDOR,6
2ª TURMA REC.JUIZ.ESP.CIV.E CRIM. ESTADO DA BAHIA,5
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,2
TURMA REC. JUIZADO ESP. CAUSAS CÍVEIS - CHAPECÓ/SC,2
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,2
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,1
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,1
