origem,processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,84
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,31
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,16
5ª TURMA REC.JUIZ.ESP.CIV.E CRIM. FORTALEZA/CE,5
TURMAS REC.JUIZ.ESP.CIV.E CRIM.DA COM.FORTALEZA/CE,5
2ª TURMA REC.JUIZ.ESP.CIV.E CRIM. FORTALEZA/CE,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.DISTRITO FEDERAL ,3
1ª TURMA REC.JUIZ.ESP.CIV.E CRIM. FORTALEZA/CE,2
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,2
6ª TURMA REC.JUIZ.ESP.CIV.E CRIM. FORTALEZA/CE,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.CEARÁ,1
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,1
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
3ª TURMA REC.JUIZ.ESP.CIV.E CRIM. FORTALEZA/CE,1
COLEGIO REC.JUIZ.ESP.CIVEIS E CRIMINAIS DO ESTADO ,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,1
