origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,1681
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.DISTRITO FEDERAL ,174
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,163
TURMA REC. DOS JUIZADOS ESPEC. FEDERAIS DO DF,116
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,28
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,23
2ª TURMA REC. DOS JUIZADOS ESP. CIVEIS E CRIM./DF,19
1ª TURMA REC. DOS JUIZADOS ESP. CIVEIS E CRIM./DF,19
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,2
JUIZADO ESP. CIV. DEF. DO CONSUMIDOR DE ITABUNA/BA,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.BAHIA,1
TURMA NAC.DE UNIFORMIZAÇAO DOS JUIZ.ESP.FEDERAIS,1
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
