origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,762
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,284
TURMA JULGAD. CIVEL DOS JUIZ.ESPECIAIS DE GOIANIA,15
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.GOIAS,10
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,8
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,5
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,4
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,4
TURMA JULG. CRIM. JUIZADOS ESP. COMARCA GOIÂNIA-GO,3
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,2
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,1
JUIZADO DE PEQUENAS CAUSAS,1
3ª TURMA JULG.CÍV.J.ESP.COM.APARECIDA DE GOIÂNIA  ,1
TURMA JULG.CÍVEL JUIZADOS ESPECIAIS DE ANAPOLIS/GO,1
TURMA JULG.CRIM.JUIZADOS ESP.COMARCA  ANÁPOLIS/GO,1
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,1
