origem,processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,1169
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,275
TURMA REC.JUIZ.ESP.CÍV/CRIMINAIS DE CATAGUASES/MG,264
1ª TURMA REC.JUIZADOS ESP.COMARCA JUIZ DE FORA/MG ,37
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.DE MINAS GERAIS,19
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. MINAS GERAIS,18
2ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE ,11
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,10
4ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,9
1ª TURMA REC.DOS JUIZ.ESP.CIVEIS DE BELO HORIZONTE,9
3ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,9
6ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,5
TURMA REC.DO JUIZADO ESP.CIVEL DA COM.DE LAVRAS/MG,4
TURMA REC.JUIZ. ESP.CIV.E CRIM.DE POUSO ALEGRE/MG,4
5ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE,3
8ªTURMA REC.J.ESP.REL.CONSUMO COM. BELO HORIZONTE,2
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,2
1ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA  ,2
7ª TURMA REC DO JUIZ. ESP. CÍVEL COM. B. HORIZONTE,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,1
2ª TURMA REC. JUIZ. ESP. CRIMINAL - BELO HORIZONTE,1
1ª TURMA REC. JUIZ. ESP. CRIMINAL - BELO HORIZONTE,1
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,1
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
TURMA REC.CIV.JUIZ.ESP.REL.CONSUMO/BELO HORIZONTE,1
TURMA RECURSAL JUIZ.ESP.CIVEL DA COMARCA DE ARAXA,1
2ª TURMA REC.DO JUIZADO ESPECIAL DE DIVINOPOLIS,1
JUIZADO ESP. CIVEL DA COMARCA DE BELO HORIZONTE ,1
2ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA,1
TURMA REC.DOS JUIZ.ESP.CIVEIS E CRIM.DE PARACATU,1
3ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA,1
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,1
