origem,processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,2606
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,554
TURMA REC.JUIZ.ESP.CÍV/CRIMINAIS DE CATAGUASES/MG,271
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,122
1ª TURMA REC.JUIZADOS ESP.COMARCA JUIZ DE FORA/MG ,38
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,37
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. MINAS GERAIS,33
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.DE MINAS GERAIS,27
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,25
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,24
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,20
2ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE ,17
4ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,15
1ª TURMA REC.DOS JUIZ.ESP.CIVEIS DE BELO HORIZONTE,14
3ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,10
6ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,10
TURMA REC.JUIZ. ESP.CIV.E CRIM.DE POUSO ALEGRE/MG,6
1ª TURMA REC. JUIZ. ESP. CRIMINAL - BELO HORIZONTE,6
7ª TURMA REC DO JUIZ. ESP. CÍVEL COM. B. HORIZONTE,6
TURMA REC.DO JUIZADO ESP.CIVEL DA COM.DE LAVRAS/MG,5
5ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE,5
TURMA REC DO JUIZADO ESPECIAL CÍVEL DE UBERLÂNDIA,3
TURMA REC.CIV.JUIZ.ESP.REL.CONSUMO/BELO HORIZONTE,3
TURMA RECURSAL JUIZ.ESP.CIVEL DA COMARCA DE ARAXA,3
8ªTURMA REC.J.ESP.REL.CONSUMO COM. BELO HORIZONTE,3
1ª TURMA REC.JUIZ.ESP.CÍVEL COMARCA DE CONTAGEM/MG,3
3ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA,2
JUIZADO ESP. CIVEL DA COMARCA DE BELO HORIZONTE ,2
JUIZADO DE PEQUENAS CAUSAS,2
1ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA  ,2
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,2
JUIZADO ESPECIAL CRIM. DA COM.DE BELO HORIZONTE,2
TURMA REC.DOS JUIZ.ESP.CIVEIS E CRIM.DE PARACATU,1
TURMA REC.DO JUIZ.ESP.CIVEL DA COM.DE SETE LAGOAS,1
2ª TURMA REC. JUIZ. ESP. CRIMINAL - BELO HORIZONTE,1
16ª TURMA REC.DO JUIZADO ESP.DE CAMPO MOURAO/PR,1
2ª TURMA REC.CIVEIS DOS JUIZ.ESPECIAIS DE CUIABA,1
JUIZADOS ESPECIAIS (ART.98 DA C.F.),1
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
2ª TURMA REC.JUIZ.ESP.CÍVEL E CRIM.JUIZ DE FORA/MG,1
JUIZADO ESPECIAL CRIMINAL DE JUIZ DE FORA ,1
2ª TURMA REC.JUIZ.ESP.CIV.CRIM.COM.DE UBERLANDIA,1
2ª TURMA REC.DO JUIZADO ESPECIAL DE DIVINOPOLIS,1
