origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,207
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,187
2ª TURMA REC. M. DOS JUIZADOS ESP. CÍV. E CRIM./MS,53
3ª TURMA REC.MISTA JUIZ.ESP.CÍVEIS.CRIM.DE MS,11
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,8
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,4
JUIZADO DE PEQUENAS CAUSAS,4
COL. REC. JUIZADO ESP. CÍVEL DE CAMPO GRANDE - MS,3
JUIZADOS ESPECIAIS (ART.98 DA C.F.),2
TURMA JULG. CRIM. JUIZADOS ESP. COMARCA GOIÂNIA-GO,1
TURMA REC. JUIZADO ESP. CAUSAS CÍVEIS - CHAPECÓ/SC,1
TERCEIRA TURMA REC. MISTA DOS JUIZADOS ESP. CÍVEIS E CRIMINAIS DE CAMPO GRANDE/MS,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MATO GROSSO DO SUL,1
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
