origem,processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,307
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,244
1ª TURMA REC. CÍVEL JUIZ.ESP.ESTADO DE MATO GROSSO,30
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MATO GROSSO,27
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,12
2ª TURMA REC.CIV.DOS JUIZ.ESP.ESTADO MATO GROSSO,12
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,4
3ª TURMA REC.CIVEL DOS JUIZ.ESPECIAIS DE CUIABA,2
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,1
2ª TURMA REC.CIVEIS DOS JUIZ.ESPECIAIS DE CUIABA,1
2ª TURMA REC.CIVELDOS JUIZ.ESP.DE CUIABA/MT,1
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
