origem,processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,128
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,30
2ª TURMA RECURSAL DOS JUIZADOS ESPECIAIS/PA,13
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,8
1ª TURMA RECURSAL DOS JUIZADOS ESPECIAIS/PA,5
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,1
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
TURMA REC. JUIZADO ESP. CAUSAS CÍVEIS - CHAPECÓ/SC,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,1
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,1
