origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,5465
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,801
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARANÁ,245
TURMA REC. ÚNICA JUIZADOS ESP. CIV. E CRIM. PARANÁ,227
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,66
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,45
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,18
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,6
TURMA REC.DO JUIZ.ESP.CIVEL DA COM.DE LONDRINA/PR ,4
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,3
JUIZADOS ESPECIAIS (ART.98 DA C.F.),1
TURMA REGIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,1
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PARAIBA ,1
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.PERNAMBUCO,1
JUIZADOS ESP.PEQ.CAUSAS COMARCA DE ARARAQUARA,1
TURMA RECURSAL DOS JUIZ.ESP.FEDERAIS DE CURITIBA,1
COLEGIO REC.JUIZ.ESP.CIVEIS E CRIMINAIS DO ESTADO ,1
2ª TURMA REC.CIV.DOS JUIZ.ESP.ESTADO MATO GROSSO,1
JUIZADO ESP. CIVEL DA COMARCA DE BELO HORIZONTE ,1
TURMA REC. DO JUIZADO ESP. CÍVEL DE CASCAVEL - PR,1
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE LONDRINA,1
