origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,13658
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,866
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,15
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,8
CONSELHO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS DO ESTADO DO RIO DE JANEIRO.,5
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,4
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.RIO DE JANEIRO,4
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,3
TURMA NAC.DE UNIFORMIZAÇAO DOS JUIZ.ESP.FEDERAIS,1
I JUIZADO ESPECIAL CÍVEL DE NOVA FRIBURGO/RJ,1
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
1ª TURMA REC. DOS JUIZADOS ESP. FEDERAIS DA SJ/RJ,1
