origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,413
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,91
1ª TURMA REC.JUIZ.ESP.CIV.E CRIMINAIS COM.DE NATAL,16
2ª TURMA REC.DOS JUIZ.ESP.CIV. E CRIM.DE NATAL/RN,13
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,10
JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS - RN,9
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.RIO GRANDE DO NORTE,8
JUIZADOS ESP. CIV.E CRIMINAIS  DA COMARCA DE NATAL,7
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,1
