origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,1209
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.RIO GRANDE DO SUL,410
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,201
1ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,38
3ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,18
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,11
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,9
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,7
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,4
1ª TURMA REC.CRIM.JUIZADOS ESP.RIO GRANDE DO SUL,3
TURMA REC.DO JUIZADO ESPECIAL DE PORTO ALEGRE/RS,2
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,2
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.BAHIA,1
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,1
