origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,2348
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,775
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.RIO GRANDE DO SUL,459
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,96
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,79
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,60
1ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,48
3ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,25
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,10
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,6
1ª TURMA REC.CRIM.JUIZADOS ESP.RIO GRANDE DO SUL,5
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,4
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.MATO GROSSO DO SUL,3
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.BAHIA,2
TURMA REC.DO JUIZADO ESPECIAL DE PORTO ALEGRE/RS,2
2ª TURMA REC.DOS JUIZ.ESP.CIV. E CRIM.DE NATAL/RN,1
JUIZADOS ESPECIAIS (ART.98 DA C.F.),1
2ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,1
2º COLEGIO REC. JUIZ.ESP.CIVEIS DA  CAPITAL/SP,1
