origem,processos
1º COL.REC.DOS JUIZ.ESP.CIV.DA COM. DA CAPITAL/SP,53
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,21
3º COLEGIO REC.JUIZ.ESP.CIV.COM.DA CAPITAL/SP ,15
2º COLEGIO REC. JUIZ.ESP.CIVEIS DA  CAPITAL/SP,15
COLÉGIO REC.JUIZ.ESP.PEQ.CAUSAS DE SÃO CARLOS/SP ,9
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,8
4º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,4
COL. REC. JUIZADO ESP. CÍVEL MOGI DAS CRUZES/SP,2
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE SAO CARLOS/SP,2
3º COLEGIO REC.DO JUIZ. ESP. DE PEQUENAS CAUSAS/SP,2
COLEGIO REC.JUIZ.ESP.CIVEL COMAR. PRES.PRUDENTE/SP,1
JUIZADOS ESPECIAIS DE PEQUENAS CAUSAS  DE BAURU/SP,1
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS DE OURINHOS/SP,1
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,1
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,1
COLÉGIO REC.JUIZADO ESPECIAL CÍVEL DE ARAÇATUBA/SP,1
COLÉGIO REC. DO JUIZADO ESPECIAL DE SANTOS,1
JUIZADO ESPECIAL CÍVEL DA COMARCA DE AVARÉ,1
COLÉGIO REC.JUIZ.ESP.CIVEL COMARCA  GUARULHOS/SP,1
JUIZADO ESPECIAL CIVEL DA COMARCA DE FRANCA/SP,1
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
COLÉGIO REC. JUIZ. ESP. CIVEIS DE PRES.PRUDENTE/SP,1
