"uf","ano_autuacao","processos"
AC,2000,494
AC,2001,341
AC,2002,945
AC,2003,2063
AC,2004,1677
AC,2005,741
AC,2006,751
AC,2007,696
AC,2008,453
AC,2009,288
AL,2000,5969
AL,2001,2847
AL,2002,3173
AL,2003,13998
AL,2004,8658
AL,2005,8449
AL,2006,3994
AL,2007,2009
AL,2008,2467
AL,2009,1256
AM,2000,2586
AM,2001,2230
AM,2002,2894
AM,2003,1838
AM,2004,1512
AM,2005,3216
AM,2006,8526
AM,2007,5671
AM,2008,5381
AM,2009,3774
AP,2000,495
AP,2001,577
AP,2002,535
AP,2003,534
AP,2004,237
AP,2005,304
AP,2006,790
AP,2007,443
AP,2008,199
AP,2009,127
BA,2000,7292
BA,2001,8371
BA,2002,12901
BA,2003,12867
BA,2004,5426
BA,2005,5017
BA,2006,10714
BA,2007,21291
BA,2008,14073
BA,2009,4098
CE,2000,12794
CE,2001,4642
CE,2002,5567
CE,2003,18592
CE,2004,16646
CE,2005,6823
CE,2006,5349
CE,2007,4584
CE,2008,4638
CE,2009,1980
DF,2000,22616
DF,2001,18090
DF,2002,26470
DF,2003,33799
DF,2004,17987
DF,2005,20477
DF,2006,23248
DF,2007,28686
DF,2008,18698
DF,2009,16239
ES,2000,2935
ES,2001,2578
ES,2002,3903
ES,2003,4742
ES,2004,2758
ES,2005,2901
ES,2006,6859
ES,2007,5771
ES,2008,5726
ES,2009,2635
GO,2000,2300
GO,2001,2573
GO,2002,4580
GO,2003,6585
GO,2004,5077
GO,2005,6620
GO,2006,11703
GO,2007,7662
GO,2008,6453
GO,2009,3004
MA,2000,1598
MA,2001,2388
MA,2002,2452
MA,2003,2606
MA,2004,1383
MA,2005,1521
MA,2006,2119
MA,2007,2466
MA,2008,1727
MA,2009,1011
MG,2000,53495
MG,2001,78974
MG,2002,68727
MG,2003,45598
MG,2004,30631
MG,2005,38181
MG,2006,48417
MG,2007,54563
MG,2008,36661
MG,2009,22601
MS,2000,1571
MS,2001,1337
MS,2002,2415
MS,2003,3334
MS,2004,3064
MS,2005,5117
MS,2006,7761
MS,2007,6250
MS,2008,4741
MS,2009,2708
MT,2000,1229
MT,2001,1697
MT,2002,4338
MT,2003,3908
MT,2004,2710
MT,2005,3105
MT,2006,3253
MT,2007,3002
MT,2008,2513
MT,2009,1609
PA,2000,3297
PA,2001,3347
PA,2002,4519
PA,2003,3791
PA,2004,1874
PA,2005,2223
PA,2006,3673
PA,2007,5179
PA,2008,4504
PA,2009,2495
PB,2000,11733
PB,2001,3394
PB,2002,2713
PB,2003,8168
PB,2004,6523
PB,2005,4212
PB,2006,6065
PB,2007,6521
PB,2008,4999
PB,2009,1162
PE,2000,7610
PE,2001,3063
PE,2002,5657
PE,2003,17975
PE,2004,15019
PE,2005,8939
PE,2006,26395
PE,2007,14665
PE,2008,6086
PE,2009,4297
PI,2000,981
PI,2001,1030
PI,2002,1252
PI,2003,1652
PI,2004,1611
PI,2005,1700
PI,2006,2031
PI,2007,1923
PI,2008,1590
PI,2009,1678
PR,2000,32913
PR,2001,40366
PR,2002,26290
PR,2003,22741
PR,2004,14424
PR,2005,36527
PR,2006,43533
PR,2007,30426
PR,2008,19513
PR,2009,10881
RJ,2000,32278
RJ,2001,36114
RJ,2002,40872
RJ,2003,49722
RJ,2004,41212
RJ,2005,88520
RJ,2006,116097
RJ,2007,67282
RJ,2008,48119
RJ,2009,23080
RN,2000,19881
RN,2001,6520
RN,2002,5031
RN,2003,8682
RN,2004,6416
RN,2005,4204
RN,2006,13005
RN,2007,10048
RN,2008,4527
RN,2009,3311
RO,2000,553
RO,2001,599
RO,2002,1194
RO,2003,1736
RO,2004,2840
RO,2005,1196
RO,2006,1819
RO,2007,2068
RO,2008,1838
RO,2009,874
RR,2000,541
RR,2001,279
RR,2002,404
RR,2003,490
RR,2004,397
RR,2005,509
RR,2006,939
RR,2007,2788
RR,2008,1234
RR,2009,637
RS,2000,46588
RS,2001,58742
RS,2002,68053
RS,2003,95203
RS,2004,63573
RS,2005,62512
RS,2006,98808
RS,2007,94445
RS,2008,54499
RS,2009,30897
SC,2000,26544
SC,2001,28994
SC,2002,29675
SC,2003,31309
SC,2004,14727
SC,2005,23847
SC,2006,28915
SC,2007,24083
SC,2008,16677
SC,2009,7685
SE,2000,1520
SE,2001,855
SE,2002,2082
SE,2003,3672
SE,2004,2542
SE,2005,2087
SE,2006,5002
SE,2007,3963
SE,2008,3726
SE,2009,1659
SP,2000,73178
SP,2001,66992
SP,2002,80969
SP,2003,110409
SP,2004,71745
SP,2005,79250
SP,2006,143135
SP,2007,134511
SP,2008,90628
SP,2009,44668
TO,2000,133
TO,2001,213
TO,2002,514
TO,2003,1698
TO,2004,650
TO,2005,434
TO,2006,710
TO,2007,1103
TO,2008,780
TO,2009,346
