DSC_PROCEDENCIA,year(dat_autuacao),DSC_CLASSE,count(PROCESSO.SEQ_OBJETO_INCIDENTE)
ACRE,2006,"AÇÃO CÍVEL ORIGINÁRIA",2
ACRE,2006,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",2
ACRE,2006,"AÇÃO ORIGINÁRIA",5
ACRE,2006,"AGRAVO DE INSTRUMENTO",49
ACRE,2006,"HABEAS CORPUS",3
ACRE,2006,INQUÉRITO,1
ACRE,2006,"MANDADO DE SEGURANÇA",1
ACRE,2006,RECLAMAÇÃO,4
ACRE,2006,"RECURSO EXTRAORDINÁRIO",91
ACRE,2006,"SUSPENSÃO DE SEGURANÇA",7
ACRE,2007,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",2
ACRE,2007,"AÇÃO PENAL",1
ACRE,2007,"AGRAVO DE INSTRUMENTO",122
ACRE,2007,"HABEAS CORPUS",5
ACRE,2007,"MANDADO DE SEGURANÇA",1
ACRE,2007,PETIÇÃO,2
ACRE,2007,RECLAMAÇÃO,6
ACRE,2007,"RECURSO EXTRAORDINÁRIO",39
ACRE,2007,"SUSPENSÃO DE SEGURANÇA",1
ACRE,2008,"AÇÃO CAUTELAR",2
ACRE,2008,"AÇÃO CÍVEL ORIGINÁRIA",1
ACRE,2008,"AGRAVO DE INSTRUMENTO",26
ACRE,2008,"HABEAS CORPUS",14
ACRE,2008,"MANDADO DE SEGURANÇA",1
ACRE,2008,RECLAMAÇÃO,2
ACRE,2008,"RECURSO EXTRAORDINÁRIO",62
ACRE,2008,"SUSPENSÃO DE SEGURANÇA",1
ACRE,2009,"AÇÃO CÍVEL ORIGINÁRIA",5
ACRE,2009,"AÇÃO ORIGINÁRIA",1
ACRE,2009,"AGRAVO DE INSTRUMENTO",39
ACRE,2009,"HABEAS CORPUS",34
ACRE,2009,"MANDADO DE SEGURANÇA",3
ACRE,2009,RECLAMAÇÃO,7
ACRE,2009,"RECURSO EXTRAORDINÁRIO",36
ACRE,2009,"RECURSO ORDINÁRIO EM HABEAS CORPUS",2
ACRE,2009,"SUSPENSÃO DE SEGURANÇA",1
ACRE,2010,"AÇÃO CÍVEL ORIGINÁRIA",1
ACRE,2010,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",2
ACRE,2010,"AÇÃO ORIGINÁRIA",2
ACRE,2010,"AÇÃO PENAL",2
ACRE,2010,"AGRAVO DE INSTRUMENTO",57
ACRE,2010,"HABEAS CORPUS",73
ACRE,2010,INQUÉRITO,5
ACRE,2010,"MANDADO DE SEGURANÇA",2
ACRE,2010,RECLAMAÇÃO,2
ACRE,2010,"RECURSO EXTRAORDINÁRIO",89
ACRE,2010,"RECURSO ORDINÁRIO EM HABEAS CORPUS",4
ACRE,2010,"SUSPENSÃO DE SEGURANÇA",2
ACRE,2011,"AÇÃO CÍVEL ORIGINÁRIA",3
ACRE,2011,"AÇÃO PENAL",6
ACRE,2011,"AGRAVO DE INSTRUMENTO",104
ACRE,2011,"HABEAS CORPUS",52
ACRE,2011,INQUÉRITO,7
ACRE,2011,"MANDADO DE SEGURANÇA",2
ACRE,2011,RECLAMAÇÃO,12
ACRE,2011,"RECURSO EXTRAORDINÁRIO",17
ACRE,2011,"RECURSO EXTRAORDINÁRIO COM AGRAVO",10
ALAGOAS,2006,"AÇÃO CAUTELAR",8
ALAGOAS,2006,"AÇÃO CÍVEL ORIGINÁRIA",3
ALAGOAS,2006,"AÇÃO DIRETA DE INCONSTITUCIONALIDADE",3
ALAGOAS,2006,"AGRAVO DE INSTRUMENTO",148
ALAGOAS,2006,"ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL",1
ALAGOAS,2006,"HABEAS CORPUS",8
ALAGOAS,2006,INQUÉRITO,1
ALAGOAS,2006,PETIÇÃO,2
ALAGOAS,2006,RECLAMAÇÃO,8
ALAGOAS,2006,"RECURSO EXTRAORDINÁRIO",740
ALAGOAS,2006,"SUSPENSÃO DE TUTELA ANTECIPADA",2
ALAGOAS,2007,"AÇÃO CAUTELAR",14
ALAGOAS,2007,"AÇÃO ORIGINÁRIA",1
ALAGOAS,2007,"AÇÃO PENAL",1
ALAGOAS,2007,"AÇÃO RESCISÓRIA",2
ALAGOAS,2007,"AGRAVO DE INSTRUMENTO",130
ALAGOAS,2007,"HABEAS CORPUS",6
ALAGOAS,2007,INQUÉRITO,1
ALAGOAS,2007,PETIÇÃO,2
ALAGOAS,2007,RECLAMAÇÃO,6
ALAGOAS,2007,"RECURSO EXTRAORDINÁRIO",243
ALAGOAS,2007,"RECURSO ORDINÁRIO EM HABEAS CORPUS",2
