"uf","HELIO HIRASAWA","ALBERTO CAVALCANTE BRAGA","UNIAO","ROBERTO MAIA","PROCURADORIA-GERAL FEDERAL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","CAIXA ECONOMICA FEDERAL - CEF","ALBERTO CAVALCANTE BRAGA ","PROCURADORIA-GERAL FEDERAL ","ADVOGADO-GERAL DA UNIAO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","OUTROS"
"AC","0","0","10","0","10","2","0","0","0","5","0","426"
"AL","0","0","210","0","26","36","6","0","0","173","37","1979"
"AM","0","0","43","0","14","8","7","0","0","33","8","5268"
"AP","0","0","3","0","1","0","0","0","0","3","0","192"
"BA","0","7","121","0","119","79","75","0","0","43","1700","11929"
"CE","0","0","252","0","49","160","15","0","0","89","112","3961"
"DF","0","0","1172","0","101","325","128","0","0","1152","151","15668"
"ES","0","0","271","0","75","91","17","0","0","163","39","5070"
"GO","0","0","64","0","93","35","13","0","0","25","273","5950"
"MA","0","0","32","0","36","5","3","0","0","26","6","1619"
"MG","0","1","555","0","133","376","87","0","0","165","340","35004"
"MS","0","0","22","0","2","10","1","0","0","14","17","4675"
"MT","0","0","36","0","18","19","0","0","0","23","43","2374"
"PA","0","1","41","0","42","16","5","0","0","23","15","4361"
"PB","0","0","101","0","33","35","22","0","0","64","80","4664"
"PE","0","0","435","0","116","163","20","0","0","290","165","4897"
"PI","0","0","14","0","8","4","7","0","0","14","8","1535"
"PR","0","0","964","2","135","587","101","0","0","377","666","16681"
"RJ","0","0","2069","0","320","776","123","0","0","1235","442","43154"
"RN","0","0","203","0","83","64","41","0","0","117","49","3970"
"RO","0","0","28","0","3","4","0","0","0","26","5","1772"
"RR","0","0","29","0","6","2","0","0","0","28","1","1168"
"RS","0","0","1612","1","281","1010","175","0","0","733","1169","49518"
"SC","0","0","1025","0","115","605","145","0","0","409","439","13939"
"SE","0","0","137","0","162","43","7","0","0","90","41","3246"
"SP","0","0","3301","0","99","2480","178","0","0","398","1274","82898"
"TO","0","0","13","0","2","1","0","0","0","12","2","750"
