"uf","HELIO HIRASAWA","ALBERTO CAVALCANTE BRAGA","UNIAO","ROBERTO MAIA","PROCURADORIA-GERAL FEDERAL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","CAIXA ECONOMICA FEDERAL - CEF","ALBERTO CAVALCANTE BRAGA ","PROCURADORIA-GERAL FEDERAL ","ADVOGADO-GERAL DA UNIAO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","OUTROS"
"AC","0","0","7","0","5","1","0","0","0","6","0","269"
"AL","0","0","86","0","12","13","3","0","0","70","11","1061"
"AM","0","0","14","0","9","2","0","0","0","11","4","3734"
"AP","0","0","2","0","2","0","0","0","0","2","0","121"
"BA","0","2","72","0","108","21","44","0","0","42","18","3791"
"CE","0","0","88","0","31","18","6","0","0","58","20","1759"
"DF","0","2","732","0","206","122","45","0","0","1549","69","13514"
"ES","0","0","39","0","39","11","1","0","0","20","51","2474"
"GO","0","0","92","0","34","19","2","0","0","64","7","2786"
"MA","0","0","19","0","14","3","1","0","0","18","1","955"
"MG","0","0","247","0","114","115","21","0","0","94","136","21874"
"MS","0","0","21","0","5","0","0","0","0","21","3","2658"
"MT","0","1","75","0","17","5","3","0","0","71","3","1434"
"PA","0","0","33","0","27","9","2","0","0","24","8","2392"
"PB","0","0","38","0","25","6","4","0","0","34","34","1021"
"PE","0","0","191","0","40","35","11","0","0","124","35","3861"
"PI","0","0","10","0","4","2","3","0","0","7","6","1646"
"PR","0","0","405","0","137","170","44","0","0","195","190","9740"
"RJ","0","0","702","0","255","170","45","0","0","452","185","21271"
"RN","0","0","56","0","148","11","10","0","0","36","9","3041"
"RO","0","0","19","0","16","3","0","0","0","18","9","809"
"RR","0","0","14","0","10","3","0","0","0","11","0","599"
"RS","0","0","717","1","250","255","74","0","0","379","390","28831"
"SC","0","0","550","0","97","169","25","0","0","325","205","6314"
"SE","0","0","95","0","11","1","6","0","0","95","5","1446"
"SP","0","0","1118","0","137","552","38","0","0","285","265","42273"
"TO","0","0","11","0","3","1","0","0","0","9","0","322"
