"litigante","uf","processos"
ADVOGADO-GERAL DA UNIÃO,AC,17
ADVOGADO-GERAL DA UNIÃO,AL,159
ADVOGADO-GERAL DA UNIÃO,AL,1
ADVOGADO-GERAL DA UNIÃO,AM,192
ADVOGADO-GERAL DA UNIÃO,AP,23
ADVOGADO-GERAL DA UNIÃO,BA,44
ADVOGADO-GERAL DA UNIÃO,CE,146
ADVOGADO-GERAL DA UNIÃO,DF,812
ADVOGADO-GERAL DA UNIÃO,ES,27
ADVOGADO-GERAL DA UNIÃO,GO,14
ADVOGADO-GERAL DA UNIÃO,MA,18
ADVOGADO-GERAL DA UNIÃO,MG,214
ADVOGADO-GERAL DA UNIÃO,MS,15
ADVOGADO-GERAL DA UNIÃO,MT,25
ADVOGADO-GERAL DA UNIÃO,PA,105
ADVOGADO-GERAL DA UNIÃO,PB,224
ADVOGADO-GERAL DA UNIÃO,PE,92
ADVOGADO-GERAL DA UNIÃO,PI,9
ADVOGADO-GERAL DA UNIÃO,PR,112
ADVOGADO-GERAL DA UNIÃO,RJ,473
ADVOGADO-GERAL DA UNIÃO,RN,184
ADVOGADO-GERAL DA UNIÃO,RO,31
ADVOGADO-GERAL DA UNIÃO,RR,33
ADVOGADO-GERAL DA UNIÃO,RS,204
ADVOGADO-GERAL DA UNIÃO,SC,95
ADVOGADO-GERAL DA UNIÃO,SE,47
ADVOGADO-GERAL DA UNIÃO,SP,178
ADVOGADO-GERAL DA UNIÃO,TO,1
ALBERTO CAVALCANTE BRAGA,AC,7
ALBERTO CAVALCANTE BRAGA,AM,12
ALBERTO CAVALCANTE BRAGA,AP,23
ALBERTO CAVALCANTE BRAGA,BA,531
ALBERTO CAVALCANTE BRAGA,DF,399
ALBERTO CAVALCANTE BRAGA,GO,51
ALBERTO CAVALCANTE BRAGA,MA,91
ALBERTO CAVALCANTE BRAGA,MG,5717
ALBERTO CAVALCANTE BRAGA,MT,45
ALBERTO CAVALCANTE BRAGA,PA,82
ALBERTO CAVALCANTE BRAGA,PI,41
ALBERTO CAVALCANTE BRAGA,PR,1
ALBERTO CAVALCANTE BRAGA,RJ,1
ALBERTO CAVALCANTE BRAGA,RO,6
ALBERTO CAVALCANTE BRAGA,RR,12
ALBERTO CAVALCANTE BRAGA,RS,3
ALBERTO CAVALCANTE BRAGA,SC,1
ALBERTO CAVALCANTE BRAGA,SP,3
ALBERTO CAVALCANTE BRAGA,TO,2
CAIXA ECONÔMICA FEDERAL - CEF,AC,35
CAIXA ECONÔMICA FEDERAL - CEF,AL,359
CAIXA ECONÔMICA FEDERAL - CEF,AM,58
CAIXA ECONÔMICA FEDERAL - CEF,AP,64
CAIXA ECONÔMICA FEDERAL - CEF,BA,1530
CAIXA ECONÔMICA FEDERAL - CEF,CE,490
CAIXA ECONÔMICA FEDERAL - CEF,DF,1440
CAIXA ECONÔMICA FEDERAL - CEF,ES,233
CAIXA ECONÔMICA FEDERAL - CEF,GO,164
CAIXA ECONÔMICA FEDERAL - CEF,MA,410
CAIXA ECONÔMICA FEDERAL - CEF,MG,16415
CAIXA ECONÔMICA FEDERAL - CEF,MS,27
CAIXA ECONÔMICA FEDERAL - CEF,MT,166
CAIXA ECONÔMICA FEDERAL - CEF,PA,333
CAIXA ECONÔMICA FEDERAL - CEF,PB,359
CAIXA ECONÔMICA FEDERAL - CEF,PE,192
CAIXA ECONÔMICA FEDERAL - CEF,PI,128
CAIXA ECONÔMICA FEDERAL - CEF,PR,7262
CAIXA ECONÔMICA FEDERAL - CEF,RJ,4047
CAIXA ECONÔMICA FEDERAL - CEF,RN,564
CAIXA ECONÔMICA FEDERAL - CEF,RO,21
CAIXA ECONÔMICA FEDERAL - CEF,RR,19
CAIXA ECONÔMICA FEDERAL - CEF,RS,8798
CAIXA ECONÔMICA FEDERAL - CEF,SC,3564
CAIXA ECONÔMICA FEDERAL - CEF,SE,9
CAIXA ECONÔMICA FEDERAL - CEF,SP,4305
CAIXA ECONÔMICA FEDERAL - CEF,TO,21
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AL,16
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AM,67
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,BA,29
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,CE,16
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,DF,61
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,ES,36
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,GO,49
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MA,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,236
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MS,3
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MT,3
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PA,10
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PB,27
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PE,20
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PI,3
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PR,397
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RJ,1671
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RN,20
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RO,8
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RR,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RS,1951
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SC,1874
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SE,7
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,1037
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,TO,4
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AL,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,CE,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,DF,3
PROCURADORIA-GERAL DA FAZENDA NACIONAL,GO,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MA,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MG,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PB,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PE,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PR,46
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RJ,5
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,3
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SC,3
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SE,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SP,26
PROCURADORIA-GERAL FEDERAL,CE,3
PROCURADORIA-GERAL FEDERAL,DF,1
PROCURADORIA-GERAL FEDERAL,MA,1
PROCURADORIA-GERAL FEDERAL,MG,7
PROCURADORIA-GERAL FEDERAL,PA,2
PROCURADORIA-GERAL FEDERAL,PB,3
PROCURADORIA-GERAL FEDERAL,PE,4
PROCURADORIA-GERAL FEDERAL,PR,4
PROCURADORIA-GERAL FEDERAL,RJ,1
PROCURADORIA-GERAL FEDERAL,RN,6
PROCURADORIA-GERAL FEDERAL,RR,2
PROCURADORIA-GERAL FEDERAL,RS,12
PROCURADORIA-GERAL FEDERAL,SE,5
PROCURADORIA-GERAL FEDERAL,SP,3
ROBERTO MAIA,AL,1
ROBERTO MAIA,CE,2
ROBERTO MAIA,MG,1
ROBERTO MAIA,PR,1891
ROBERTO MAIA,RJ,4
ROBERTO MAIA,RS,2709
ROBERTO MAIA,SC,995
ROBERTO MAIA,SE,1
ROBERTO MAIA,SP,6
UNIÃO,AC,16
UNIÃO,AL,114
UNIÃO,AM,160
UNIÃO,AP,20
UNIÃO,BA,82
UNIÃO,CE,155
UNIÃO,DF,833
UNIÃO,ES,43
UNIÃO,GO,52
UNIÃO,MA,18
UNIÃO,MG,374
UNIÃO,MS,13
UNIÃO,MT,28
UNIÃO,PA,71
UNIÃO,PB,155
UNIÃO,PE,112
UNIÃO,PI,10
UNIÃO,PR,494
UNIÃO,RJ,652
UNIÃO,RN,162
UNIÃO,RO,32
UNIÃO,RR,28
UNIÃO,RS,404
UNIÃO,SC,333
UNIÃO,SE,40
UNIÃO,SP,628
UNIÃO,TO,2
