"litigante","uf","processos"
ADVOGADO-GERAL DA UNIÃO,AC,30
ADVOGADO-GERAL DA UNIÃO,AL,510
ADVOGADO-GERAL DA UNIÃO,AM,242
ADVOGADO-GERAL DA UNIÃO,AP,10
ADVOGADO-GERAL DA UNIÃO,BA,20
ADVOGADO-GERAL DA UNIÃO,CE,323
ADVOGADO-GERAL DA UNIÃO,DF,1026
ADVOGADO-GERAL DA UNIÃO,DF,2
ADVOGADO-GERAL DA UNIÃO,ES,59
ADVOGADO-GERAL DA UNIÃO,GO,19
ADVOGADO-GERAL DA UNIÃO,MA,16
ADVOGADO-GERAL DA UNIÃO,MG,298
ADVOGADO-GERAL DA UNIÃO,MS,34
ADVOGADO-GERAL DA UNIÃO,MT,54
ADVOGADO-GERAL DA UNIÃO,PA,93
ADVOGADO-GERAL DA UNIÃO,PB,500
ADVOGADO-GERAL DA UNIÃO,PE,183
ADVOGADO-GERAL DA UNIÃO,PI,10
ADVOGADO-GERAL DA UNIÃO,PR,162
ADVOGADO-GERAL DA UNIÃO,PR,1
ADVOGADO-GERAL DA UNIÃO,PR,1
ADVOGADO-GERAL DA UNIÃO,RJ,602
ADVOGADO-GERAL DA UNIÃO,RN,344
ADVOGADO-GERAL DA UNIÃO,RO,44
ADVOGADO-GERAL DA UNIÃO,RR,117
ADVOGADO-GERAL DA UNIÃO,RS,349
ADVOGADO-GERAL DA UNIÃO,RS,1
ADVOGADO-GERAL DA UNIÃO,SC,119
ADVOGADO-GERAL DA UNIÃO,SE,72
ADVOGADO-GERAL DA UNIÃO,SE,1
ADVOGADO-GERAL DA UNIÃO,SP,269
ADVOGADO-GERAL DA UNIÃO,SP,1
ADVOGADO-GERAL DA UNIÃO,TO,6
CAIXA ECONÔMICA FEDERAL - CEF,AC,41
CAIXA ECONÔMICA FEDERAL - CEF,AL,776
CAIXA ECONÔMICA FEDERAL - CEF,AM,72
CAIXA ECONÔMICA FEDERAL - CEF,AP,64
CAIXA ECONÔMICA FEDERAL - CEF,BA,1131
CAIXA ECONÔMICA FEDERAL - CEF,CE,2040
CAIXA ECONÔMICA FEDERAL - CEF,DF,2941
CAIXA ECONÔMICA FEDERAL - CEF,ES,156
CAIXA ECONÔMICA FEDERAL - CEF,GO,73
CAIXA ECONÔMICA FEDERAL - CEF,MA,283
CAIXA ECONÔMICA FEDERAL - CEF,MG,9834
CAIXA ECONÔMICA FEDERAL - CEF,MS,15
CAIXA ECONÔMICA FEDERAL - CEF,MT,81
CAIXA ECONÔMICA FEDERAL - CEF,PA,295
CAIXA ECONÔMICA FEDERAL - CEF,PB,1890
CAIXA ECONÔMICA FEDERAL - CEF,PE,908
CAIXA ECONÔMICA FEDERAL - CEF,PI,87
