"litigante","uf","processos"
ADVOGADO-GERAL DA UNIÃO,AC,5
ADVOGADO-GERAL DA UNIÃO,AL,173
ADVOGADO-GERAL DA UNIÃO,AM,33
ADVOGADO-GERAL DA UNIÃO,AP,3
ADVOGADO-GERAL DA UNIÃO,BA,43
ADVOGADO-GERAL DA UNIÃO,CE,89
ADVOGADO-GERAL DA UNIÃO,DF,1148
ADVOGADO-GERAL DA UNIÃO,DF,4
ADVOGADO-GERAL DA UNIÃO,ES,161
ADVOGADO-GERAL DA UNIÃO,ES,2
ADVOGADO-GERAL DA UNIÃO,GO,25
ADVOGADO-GERAL DA UNIÃO,MA,26
ADVOGADO-GERAL DA UNIÃO,MG,165
ADVOGADO-GERAL DA UNIÃO,MS,14
ADVOGADO-GERAL DA UNIÃO,MT,23
ADVOGADO-GERAL DA UNIÃO,PA,23
ADVOGADO-GERAL DA UNIÃO,PB,64
ADVOGADO-GERAL DA UNIÃO,PE,287
ADVOGADO-GERAL DA UNIÃO,PE,3
ADVOGADO-GERAL DA UNIÃO,PI,14
ADVOGADO-GERAL DA UNIÃO,PR,375
ADVOGADO-GERAL DA UNIÃO,PR,2
ADVOGADO-GERAL DA UNIÃO,RJ,1233
ADVOGADO-GERAL DA UNIÃO,RJ,2
ADVOGADO-GERAL DA UNIÃO,RN,117
ADVOGADO-GERAL DA UNIÃO,RO,26
ADVOGADO-GERAL DA UNIÃO,RR,28
ADVOGADO-GERAL DA UNIÃO,RS,733
ADVOGADO-GERAL DA UNIÃO,SC,409
ADVOGADO-GERAL DA UNIÃO,SE,90
ADVOGADO-GERAL DA UNIÃO,SP,397
ADVOGADO-GERAL DA UNIÃO,SP,1
ADVOGADO-GERAL DA UNIÃO,TO,12
ALBERTO CAVALCANTE BRAGA,BA,7
ALBERTO CAVALCANTE BRAGA,MG,1
ALBERTO CAVALCANTE BRAGA,PA,1
CAIXA ECONÔMICA FEDERAL - CEF,AL,6
CAIXA ECONÔMICA FEDERAL - CEF,AM,7
CAIXA ECONÔMICA FEDERAL - CEF,BA,73
CAIXA ECONÔMICA FEDERAL - CEF,BA,2
CAIXA ECONÔMICA FEDERAL - CEF,CE,14
CAIXA ECONÔMICA FEDERAL - CEF,CE,1
CAIXA ECONÔMICA FEDERAL - CEF,DF,128
CAIXA ECONÔMICA FEDERAL - CEF,ES,17
CAIXA ECONÔMICA FEDERAL - CEF,GO,13
CAIXA ECONÔMICA FEDERAL - CEF,MA,3
CAIXA ECONÔMICA FEDERAL - CEF,MG,85
