"uf","HELIO HIRASAWA","ALBERTO CAVALCANTE BRAGA","UNIAO","ROBERTO MAIA","PROCURADORIA-GERAL FEDERAL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","CAIXA ECONOMICA FEDERAL - CEF","ALBERTO CAVALCANTE BRAGA ","PROCURADORIA-GERAL FEDERAL ","ADVOGADO-GERAL DA UNIAO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","OUTROS"
"AC","9","0","0","0","0","0","41","0","0","30","1","405"
"AL","1","0","0","0","0","0","776","0","0","510","37","4542"
"AM","40","0","0","0","0","0","72","0","0","242","25","2123"
"AP","36","0","0","0","0","0","64","0","0","10","0","377"
"BA","580","0","0","0","0","0","1131","0","0","20","14","5413"
"CE","1","0","0","0","0","0","2040","0","0","323","31","10246"
"DF","1543","0","0","0","0","0","2941","0","0","1028","40","16481"
"ES","0","0","0","0","0","0","156","0","0","59","52","2630"
"GO","33","0","0","0","0","0","73","0","0","19","11","2132"
"MA","119","0","0","0","0","0","283","0","0","16","2","1137"
"MG","5105","0","0","0","0","0","9834","0","0","298","151","36700"
"MS","1","0","0","0","0","0","15","0","0","34","14","1495"
"MT","53","0","0","0","0","0","81","0","0","54","8","1007"
"PA","161","0","0","0","0","0","295","0","0","93","4","2687"
"PB","0","0","0","0","0","0","1890","0","0","500","52","9141"
"PE","0","0","0","0","0","0","908","0","0","183","50","6364"
"PI","57","0","0","0","0","0","87","0","0","10","1","819"
"PR","5","0","0","0","0","0","5836","0","0","164","323","24705"
"RJ","1","0","0","0","0","0","2282","0","0","602","2627","26271"
"RN","2","0","0","0","0","0","3277","0","0","344","36","16073"
"RO","15","0","0","0","0","0","24","0","0","44","2","456"
"RR","2","0","0","0","0","0","5","0","0","117","0","358"
"RS","2","0","0","0","0","0","4221","0","0","350","3018","37780"
"SC","1","0","0","0","0","0","3320","0","0","119","1542","20695"
"SE","0","0","0","0","0","0","103","0","0","73","12","1300"
"SP","1","0","0","0","0","0","4261","0","0","270","1106","67062"
"TO","0","0","0","0","0","0","1","0","0","6","0","126"
