"litigante","uf","processos"
ADVOGADO-GERAL DA UNIÃO,AC,56
ADVOGADO-GERAL DA UNIÃO,AL,114
ADVOGADO-GERAL DA UNIÃO,AM,132
ADVOGADO-GERAL DA UNIÃO,AP,20
ADVOGADO-GERAL DA UNIÃO,BA,183
ADVOGADO-GERAL DA UNIÃO,CE,141
ADVOGADO-GERAL DA UNIÃO,DF,2412
ADVOGADO-GERAL DA UNIÃO,ES,46
ADVOGADO-GERAL DA UNIÃO,GO,68
ADVOGADO-GERAL DA UNIÃO,MA,31
ADVOGADO-GERAL DA UNIÃO,MG,544
ADVOGADO-GERAL DA UNIÃO,MG,1
ADVOGADO-GERAL DA UNIÃO,MG,1
ADVOGADO-GERAL DA UNIÃO,MS,8
ADVOGADO-GERAL DA UNIÃO,MT,98
ADVOGADO-GERAL DA UNIÃO,PA,254
ADVOGADO-GERAL DA UNIÃO,PB,167
ADVOGADO-GERAL DA UNIÃO,PE,144
ADVOGADO-GERAL DA UNIÃO,PI,52
ADVOGADO-GERAL DA UNIÃO,PR,247
ADVOGADO-GERAL DA UNIÃO,RJ,736
ADVOGADO-GERAL DA UNIÃO,RN,151
ADVOGADO-GERAL DA UNIÃO,RO,58
ADVOGADO-GERAL DA UNIÃO,RR,41
ADVOGADO-GERAL DA UNIÃO,RS,519
ADVOGADO-GERAL DA UNIÃO,SC,324
ADVOGADO-GERAL DA UNIÃO,SE,41
ADVOGADO-GERAL DA UNIÃO,SP,267
ADVOGADO-GERAL DA UNIÃO,TO,7
ALBERTO CAVALCANTE BRAGA,AC,15
ALBERTO CAVALCANTE BRAGA,AL,4
ALBERTO CAVALCANTE BRAGA,AM,13
ALBERTO CAVALCANTE BRAGA,AP,13
ALBERTO CAVALCANTE BRAGA,BA,430
ALBERTO CAVALCANTE BRAGA,DF,321
ALBERTO CAVALCANTE BRAGA,GO,98
ALBERTO CAVALCANTE BRAGA,MA,86
ALBERTO CAVALCANTE BRAGA,MG,1950
ALBERTO CAVALCANTE BRAGA,MT,47
ALBERTO CAVALCANTE BRAGA,PA,122
ALBERTO CAVALCANTE BRAGA,PB,1
ALBERTO CAVALCANTE BRAGA,PE,2
ALBERTO CAVALCANTE BRAGA,PI,31
ALBERTO CAVALCANTE BRAGA,PR,3
ALBERTO CAVALCANTE BRAGA,RJ,5
ALBERTO CAVALCANTE BRAGA,RN,1
ALBERTO CAVALCANTE BRAGA,RO,25
ALBERTO CAVALCANTE BRAGA,RR,6
ALBERTO CAVALCANTE BRAGA,RS,3
ALBERTO CAVALCANTE BRAGA,SC,2
ALBERTO CAVALCANTE BRAGA,SP,7
ALBERTO CAVALCANTE BRAGA,TO,28
CAIXA ECONÔMICA FEDERAL - CEF,AC,28
CAIXA ECONÔMICA FEDERAL - CEF,AL,421
CAIXA ECONÔMICA FEDERAL - CEF,AM,43
CAIXA ECONÔMICA FEDERAL - CEF,AP,45
CAIXA ECONÔMICA FEDERAL - CEF,BA,1692
CAIXA ECONÔMICA FEDERAL - CEF,CE,430
CAIXA ECONÔMICA FEDERAL - CEF,DF,1193
CAIXA ECONÔMICA FEDERAL - CEF,ES,186
CAIXA ECONÔMICA FEDERAL - CEF,GO,223
CAIXA ECONÔMICA FEDERAL - CEF,MA,294
CAIXA ECONÔMICA FEDERAL - CEF,MG,11093
CAIXA ECONÔMICA FEDERAL - CEF,MS,31
CAIXA ECONÔMICA FEDERAL - CEF,MT,114
CAIXA ECONÔMICA FEDERAL - CEF,PA,352
CAIXA ECONÔMICA FEDERAL - CEF,PB,205
CAIXA ECONÔMICA FEDERAL - CEF,PE,221
CAIXA ECONÔMICA FEDERAL - CEF,PI,78
CAIXA ECONÔMICA FEDERAL - CEF,PR,2442
CAIXA ECONÔMICA FEDERAL - CEF,RJ,3380
CAIXA ECONÔMICA FEDERAL - CEF,RN,359
CAIXA ECONÔMICA FEDERAL - CEF,RO,51
CAIXA ECONÔMICA FEDERAL - CEF,RR,24
CAIXA ECONÔMICA FEDERAL - CEF,RS,2635
CAIXA ECONÔMICA FEDERAL - CEF,SC,1442
CAIXA ECONÔMICA FEDERAL - CEF,SE,10
CAIXA ECONÔMICA FEDERAL - CEF,SP,4198
CAIXA ECONÔMICA FEDERAL - CEF,TO,59
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AC,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AL,51
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AM,57
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,BA,103
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,CE,130
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,DF,213
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,ES,34
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,GO,99
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MA,22
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,730
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MS,19
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MT,15
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PA,22
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PB,60
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PE,85
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PI,13
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PR,1144
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RJ,1535
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RN,38
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RO,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RR,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RS,3741
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SC,2809
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SE,15
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,1691
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,TO,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AL,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AM,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AP,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,BA,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,CE,5
PROCURADORIA-GERAL DA FAZENDA NACIONAL,DF,3
PROCURADORIA-GERAL DA FAZENDA NACIONAL,GO,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MS,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PE,7
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PR,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RJ,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RO,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,12
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SC,4
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SP,10
PROCURADORIA-GERAL DA FAZENDA NACIONAL,TO,1
PROCURADORIA-GERAL FEDERAL,AL,1
PROCURADORIA-GERAL FEDERAL,BA,1
PROCURADORIA-GERAL FEDERAL,CE,15
PROCURADORIA-GERAL FEDERAL,DF,4
PROCURADORIA-GERAL FEDERAL,DF,1
PROCURADORIA-GERAL FEDERAL,GO,1
PROCURADORIA-GERAL FEDERAL,MA,1
PROCURADORIA-GERAL FEDERAL,MG,12
PROCURADORIA-GERAL FEDERAL,PA,2
PROCURADORIA-GERAL FEDERAL,PB,11
PROCURADORIA-GERAL FEDERAL,PE,8
PROCURADORIA-GERAL FEDERAL,PR,17
PROCURADORIA-GERAL FEDERAL,RJ,6
PROCURADORIA-GERAL FEDERAL,RJ,1
PROCURADORIA-GERAL FEDERAL,RN,22
PROCURADORIA-GERAL FEDERAL,RN,1
PROCURADORIA-GERAL FEDERAL,RR,2
PROCURADORIA-GERAL FEDERAL,RS,64
PROCURADORIA-GERAL FEDERAL,RS,6
PROCURADORIA-GERAL FEDERAL,SC,20
PROCURADORIA-GERAL FEDERAL,SC,1
PROCURADORIA-GERAL FEDERAL,SE,7
PROCURADORIA-GERAL FEDERAL,SP,4
ROBERTO MAIA,MG,1
ROBERTO MAIA,PA,1
ROBERTO MAIA,PR,572
ROBERTO MAIA,RJ,5
ROBERTO MAIA,RS,692
ROBERTO MAIA,SC,380
ROBERTO MAIA,SP,1
UNIÃO,AC,56
UNIÃO,AL,81
UNIÃO,AM,127
UNIÃO,AP,20
UNIÃO,BA,340
UNIÃO,CE,162
UNIÃO,DF,2495
UNIÃO,ES,57
UNIÃO,GO,128
UNIÃO,MA,34
UNIÃO,MG,1086
UNIÃO,MS,10
UNIÃO,MT,91
UNIÃO,PA,222
UNIÃO,PB,114
UNIÃO,PE,211
UNIÃO,PI,46
UNIÃO,PR,1008
UNIÃO,RJ,912
UNIÃO,RN,143
UNIÃO,RO,47
UNIÃO,RR,33
UNIÃO,RS,1139
UNIÃO,RS,2
UNIAO,RS,1
UNIÃO,SC,724
UNIÃO,SE,25
UNIÃO,SP,1114
UNIÃO,TO,11
