nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CEF,64,64,45,58,6,5,8,0,0,0
EST DO AMAPÁ,29,33,24,28,26,15,45,20,7,6
"CAIXA DE PECÚLIOS, PENSÕES E MONTEPIOS BENEFICENTE",0,0,3,0,1,0,75,32,6,0
UNIÃO,5,20,20,13,18,7,15,12,3,2
ASSEMBLÉIA LEGISLATIVA DO EST DO AMAPÁ,8,11,4,4,9,8,2,0,0,0
MIN PUB FED,0,1,0,2,4,20,5,5,3,5
JOÃO ALBERTO RODRIGUES CAPIBERIBE,0,11,13,5,3,5,2,2,0,0
SINTRACEL,8,12,8,5,0,1,1,0,0,0
GOVERNADOR DO EST DO AMAPÁ,0,5,4,0,10,6,3,1,0,0
MIN PUB DO EST DO AMAPÁ,0,0,1,0,3,8,4,4,4,0
