nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
EST DE MT DO SUL,56,49,141,107,146,237,266,324,323,173
BANCO DO BRASIL SA,26,39,53,91,44,74,121,105,68,12
INSS,14,3,19,103,54,23,140,36,17,3
BANCO BRADESCO SA,15,15,22,48,33,47,104,63,29,3
BANCO ABN AMRO REAL SA,0,0,4,7,13,36,138,87,25,4
SUP TRIBUNAL DE JUS,4,6,10,14,33,42,66,31,62,40
UNIV CATÓLICA DOM BOSCO,0,0,0,6,55,165,0,10,6,11
BANCO ITAÚ SA,13,5,16,21,7,25,82,41,21,4
ENERSUL,3,4,12,26,16,22,22,41,57,24
MIN PUB DO EST DE MT DO SUL,0,0,11,23,16,32,38,43,32,22
