nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
EST DE MT,33,118,457,296,115,127,139,108,105,88
CEF,81,166,113,126,59,38,7,9,0,3
UNIÃO,17,28,91,67,60,24,81,95,36,74
BANCO DO BRASIL SA,11,13,47,59,30,28,46,27,17,6
MIN PUB DO EST DE MT,0,1,14,12,17,32,69,51,38,17
INSS,8,3,15,33,12,20,28,84,43,3
BANCO BRADESCO SA,6,7,32,37,37,33,40,21,5,5
MIN PUB FED,2,2,1,2,9,24,95,17,25,15
JOSÉ GERALDO DA ROCHA BARROS PALMEIRA,0,0,1,0,3,175,6,0,2,0
FUNDAÇÃO UNIV FED DE MT,4,1,2,13,91,21,15,4,4,4
