nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
UNIÃO,487,652,908,1784,2450,9097,11354,3753,2060,695
INSS,2625,1668,1533,1537,484,652,6958,877,442,186
CEF,2282,4046,3380,2309,1484,72,160,119,123,45
MUN DO RJ,181,165,384,920,1010,1329,2039,1713,1066,551
TELEMAR NORTE LESTE SA,0,3,3,63,889,5549,827,1038,521,127
EST DO RJ,358,434,776,1119,770,805,1263,1943,954,439
MIN PUB DO EST DO RJ,2,0,70,124,157,173,250,295,299,120
IND CATAGUASES DE PAPEL LTDA,0,0,0,0,0,0,51,953,339,104
BANCO CENTRAL DO BRASIL,60,262,378,382,150,41,38,22,25,10
SUP TRIBUNAL DE JUS,49,52,74,71,126,132,139,173,193,102
