nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
EST DO AC,7,7,34,135,49,54,68,40,37,17
UNIÃO,5,16,56,61,179,6,17,35,10,7
TRESCINCO ADMINISTRADORA E CONSÓRCIO SC LTDA,0,0,95,113,79,28,16,0,0,0
CEF,41,35,28,68,18,5,3,0,0,0
MIN PUB DO EST DO AC,0,0,9,2,14,11,9,79,26,11
CONSÓRCIO NACIONAL HONDA LTDA,0,0,0,99,37,25,0,0,0,0
MAKGUTTY MOTOS E EQUIPAMENTOS LTDA,0,0,0,18,36,6,1,0,0,0
MIN PUB FED,2,1,2,11,5,4,5,5,1,2
BANCO DO BRASIL SA,1,7,7,8,3,6,2,0,0,1
SUP TRIBUNAL DE JUS,1,4,0,5,5,0,3,1,7,4
