nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CEF,1131,1530,1692,699,317,316,135,103,75,42
INSS,14,29,103,126,113,77,142,1153,1700,17
TELEMAR NORTE LESTE SA,0,0,2,158,3,8,673,2160,186,35
EST DA BA,98,75,154,192,201,163,409,367,453,175
UNIÃO,36,82,339,489,201,171,320,227,120,72
FILIAL BAHIA,0,0,69,496,3,5,0,0,0,0
PETROBRAS,97,46,51,43,20,36,51,51,31,39
"FILIAL BAHIA (NOVA DENOMINAÇÃO DA TELECOMUNICAÇÕES DO RIO DE JANEIRO SA, SUCESSORA POR INCORPORAÇÃO DA TELECOMUNICAÇÕES DA BAHIA SA)",0,0,213,239,1,0,0,0,0,0
TELEBAHIA,4,2,68,190,3,2,3,4,2,3
MIN PUB DO EST DA BA,1,0,4,10,43,38,42,34,22,18
