nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
UNIÃO,452,832,2486,1666,1402,1462,1558,1602,1162,726
DF,370,525,1050,3313,627,542,1191,2357,595,335
CEF,2940,1439,1193,2688,917,836,360,208,128,45
PRES DA REPÚBLICA,83,121,89,140,176,176,111,131,295,900
INSS,40,61,211,258,226,205,225,240,151,69
FEDF,221,394,231,4,3,1,1,0,0,0
MIN PUB DO DF E TERRITÓRIOS,41,30,50,57,50,107,123,147,134,77
MIN PUB FED,18,21,43,51,72,114,119,81,89,39
UNIÃO FED,606,0,10,4,0,2,0,0,0,1
CONGRESSO NACIONAL,37,36,29,40,52,50,39,48,72,111
