nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
EST DE GO,65,56,131,129,108,139,321,241,175,105
UNIÃO,22,52,128,409,152,77,114,75,63,92
CEF,73,164,223,324,71,59,35,20,13,2
MIN PUB DO EST DE GO,2,5,44,41,51,176,191,106,119,53
INSS,11,49,98,86,43,62,62,24,273,7
BANCO ABN AMRO REAL SA,7,8,16,16,82,132,281,139,20,0
BANCO DO BRASIL SA,21,12,26,62,48,57,165,116,97,36
BANCO ITAÚ SA,4,5,3,16,44,139,115,38,22,2
SUP TRIBUNAL DE JUS,7,7,11,11,10,45,56,21,28,16
BANCO BRADESCO SA,17,11,10,16,18,29,57,35,13,6
