nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CEF,9832,16415,11092,3415,820,825,419,231,87,21
EST DE MG,459,351,622,1250,1058,1560,2246,1937,2533,1406
UNIÃO,238,372,1078,1566,659,735,1326,1048,544,245
FIAT AUTOMÓVEIS SA,247,215,248,515,1246,1960,1312,718,153,22
TELEMAR NORTE LESTE SA,0,0,9,14,9,46,380,4271,632,254
INSS,150,236,730,779,496,501,915,754,335,135
MUN DE BELO HORIZONTE,206,194,505,794,546,534,541,288,600,256
MIN PUB DO EST DE MG,14,3,116,180,222,358,499,299,323,238
IPSEMG,10,14,31,262,348,225,223,283,626,135
FNDE,35,151,453,71,22,6,6,2,0,0
