nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
INSS,50,20,85,322,221,510,5475,2213,165,37
CEF,908,192,221,1907,2000,537,81,46,20,11
UNIÃO,89,112,208,900,923,390,553,505,433,186
EST DE PE,193,67,128,317,198,248,201,204,243,256
BANDEPE,18,0,326,442,63,59,52,14,2,0
SUP TRIBUNAL DE JUS,6,14,12,19,25,59,33,52,59,22
BANCO BANORTE SA (EM LIQUIDAÇÃO EXTRAJUDICIAL),50,44,54,39,7,15,9,11,5,7
TELEMAR NORTE LESTE SA,0,0,0,4,12,1,5,138,13,46
MIN PUB FED,3,12,4,9,14,36,37,39,39,22
BANCO CENTRAL DO BRASIL,40,21,16,23,30,17,16,7,8,6
