nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CEF,5836,7262,2442,508,380,2971,632,232,101,44
INSS,321,396,1143,1692,984,3633,2675,1778,663,190
UNIÃO,257,448,997,1425,826,873,2049,1782,961,398
EST DO PR,443,355,326,399,259,466,599,393,413,335
BRASIL TELECOM SA,0,0,0,9,2,15,477,659,708,20
CNA,0,0,0,0,1,5,785,243,311,288
MUN DE CURITIBA,59,48,63,57,82,83,371,185,119,112
MIN PUB DO EST DO PR,5,2,43,42,91,87,234,135,104,76
TELECOMUNICAÇÕES,0,0,1,0,2,0,437,185,8,83
BANCO DO BRASIL SA,77,32,75,87,57,45,142,42,12,20
