nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
INSS,3013,1951,3736,4750,1556,2095,4104,4394,1167,390
EST DO RS,516,392,1497,5937,3017,2252,2320,3067,1902,785
CEF,4220,8796,2635,800,333,889,819,459,175,74
UNIÃO,318,400,1128,2182,1468,1697,4191,3856,1609,711
IPERGS,110,38,1745,1915,1362,967,1043,1602,785,155
MIN PUB DO EST DO RS,3,3,110,324,672,1404,1548,935,659,415
MUN DE PORTO ALEGRE,250,200,1358,746,386,260,228,148,95,55
CEEE,414,99,168,422,639,359,447,401,343,147
BANCO ITAÚ SA,119,138,236,574,603,399,689,408,153,41
BRASIL TELECOM SA,0,1,8,134,168,74,81,261,759,1426
